,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2016055316588178816,356.84885565698,63.19822465934,-2.799,-1.085,0.3882,17.555578,0.7
1,2016054595033676544,356.88582792419,63.20180434994,-2.885,-1.263,0.2898,16.772354,1.0
2,2016060470548935680,356.90355894791,63.2076646264,-2.976,-1.29,0.3213,14.482773,1.0
3,2016061497033942400,356.92257344599,63.24701282915,-2.363,-1.464,0.3846,17.615555,0.8
4,2016060436189201408,356.97051785517,63.21641863518,-2.852,-1.353,0.3816,13.979529,1.0
5,2016060225723513728,356.97009898243,63.19913244115,-2.855,-1.334,0.3212,17.876938,0.8
6,2016055312288534656,356.84363943842,63.19754381721,-3.406,-1.084,0.2467,17.88094,0.6
7,2016055385307632512,356.85832608162,63.22309491207,-3.175,-1.449,0.2703,14.285355,1.0
8,2016055346640693376,356.88350617207,63.21025719105,-3.041,-1.379,0.2043,17.93265,0.9
9,2016060466241708416,356.9101130515,63.20699145419,-3.06,-1.626,0.1648,17.51491,0.7
10,2016055587164594944,356.82809567677,63.22176376351,-2.811,-1.383,0.3233,16.699339,1.0
11,2016055660185519872,356.85759134065,63.24758875364,-3.147,-1.294,0.2775,16.854866,1.0
12,2016055316588176768,356.84154271867,63.19970906918,-3.157,-1.111,0.3432,16.89725,0.8
13,2016054320155794944,356.88198492798,63.17086461954,-3.077,-1.378,0.2199,16.686693,1.0
14,2016055621518646784,356.87816326075,63.23073633691,-3.095,-1.375,0.3169,17.094654,1.0
15,2016055385307957632,356.8353424998,63.21562921662,-2.76,-1.885,0.3611,17.290047,0.7
16,2016055385307642496,356.85948129595,63.21267626135,-3.352,-0.859,0.3065,17.379541,0.5
17,2016054182716843648,356.827680225,63.15703864942,-2.389,-1.321,0.196,17.14262,0.4
18,2016055282228428800,356.8159982638,63.20221277257,-2.745,-1.213,0.4143,17.808628,0.7
19,2016055350947905792,356.87042678592,63.21317414332,-2.926,-1.222,0.2091,17.271616,0.9
20,2016055350947906176,356.86630724143,63.21217404618,-3.234,-1.339,0.3437,17.677288,1.0
21,2016055350947912704,356.89297428693,63.21156232308,-2.926,-1.198,0.2708,17.09431,1.0
22,2016055350947910912,356.87887142902,63.20992920814,-2.96,-1.366,0.2799,13.856242,1.0
23,2016055316588173056,356.84405761583,63.20254376401,-3.332,-1.433,0.2908,16.076445,0.8
24,2016055346640702976,356.89830112996,63.21523698948,-3.072,-1.378,0.2991,15.516534,1.0
25,2016055557106311680,356.80507275103,63.22895618357,-2.856,-1.445,0.3231,14.602491,1.0
26,2016055660185527936,356.84126358516,63.23452746583,-3.005,-1.253,0.2764,12.577316,1.0
27,2016055587158926080,356.83338905282,63.22472211316,-2.955,-1.302,0.2693,16.8189,0.9
