,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2055450504673339904,303.76580152772,33.88315845752,-2.079,-4.178,0.188,16.963568,0.2
1,2055451024381404544,303.80953329809,33.90988562864,-2.507,-4.907,0.3131,16.131275,0.2
2,2055450612064561152,303.78031161635,33.8945153377,-2.147,-4.006,0.2114,17.515785,0.2
3,2055450612064553472,303.78376975922,33.88707485868,-2.554,-4.69,0.1019,16.515541,0.4
4,2055456693738335104,303.70686311111,33.9069761321,-2.438,-5.331,0.1451,13.823732,0.1
5,2055450607750615680,303.78176109688,33.89737635427,-1.99,-4.915,0.0178,17.07326,0.3
6,2055450612064557824,303.78336593129,33.8934048962,-2.755,-4.654,0.1301,16.626083,0.7
7,2055450612064557312,303.783345824,33.89222152577,-2.428,-4.703,0.1333,17.067862,0.4
8,2055450504671356160,303.77518215243,33.88416259653,-2.648,-5.276,0.0874,17.813826,0.2
9,2055462878491184000,303.78896651521,33.94351106555,-2.498,-3.87,0.0292,17.24919,0.2
10,2055462294375634560,303.74674674577,33.89060823588,-2.399,-4.962,0.2943,16.865154,0.3
11,2055462290061668608,303.73946470031,33.89833582426,-2.873,-5.381,0.1808,17.977337,0.1
12,2055462706683639936,303.74350604989,33.93505292544,-2.377,-4.755,0.2857,17.373247,0.2
13,2055463050289886976,303.77788155681,33.94409192506,-2.862,-4.532,0.133,16.166233,0.8
14,2055462431814596096,303.7541198915,33.91220823045,-2.735,-4.545,0.0739,17.269121,0.8
15,2055462466174333568,303.77182753733,33.93439631639,-2.658,-4.731,0.1325,17.351208,0.7
16,2055462672332767488,303.76684801208,33.93208432703,-2.655,-4.421,0.1027,17.430655,0.8
17,2055462637973032576,303.756825894,33.92321231165,-3.279,-4.487,0.2054,17.756388,0.4
18,2055462672332770176,303.76889057489,33.93878650055,-2.787,-4.95,0.1213,17.176413,0.5
19,2055463492652743168,303.73866038702,33.96008174352,-2.569,-4.487,-0.0534,17.523058,0.4
20,2055463458292946688,303.73432754263,33.94336663108,-2.726,-4.239,0.1157,17.75929,0.5
21,2055463874923648384,303.7577043689,33.96789205282,-2.955,-4.023,0.1957,17.870424,0.6
22,2055462874177400320,303.79711504768,33.94725731683,-2.136,-4.827,0.1085,17.396511,0.2
23,2055462431814589184,303.75839782916,33.90841064799,-2.788,-4.323,0.186,16.68606,0.7
24,2055462839817603584,303.78357518075,33.93332643542,-2.638,-4.398,0.1498,17.726816,0.5
