,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5934714758060269440,243.71955652184,-51.89841593081,-3.174,-4.865,0.1225,17.066837,0.2
1,5934712657738570624,243.64150200734,-51.96463008483,-3.376,-3.896,0.1227,17.531666,0.3
2,5934714208304412160,243.689903733,-51.94737698334,-3.386,-4.334,-0.0009,17.436556,0.4
3,5934712833879027840,243.60327764953,-51.97157843052,-3.7,-3.938,-0.0776,17.877157,0.1
4,5934713899066777600,243.72559524913,-51.92563512462,-3.644,-4.403,0.2691,17.464622,0.4
5,5934714616241053696,243.69823903448,-51.92569470867,-4.234,-4.043,0.3728,17.153673,0.2
6,5934712593396689920,243.65026003901,-51.97626304423,-3.368,-4.409,0.1341,15.622316,0.3
7,5934712593396688000,243.65130690976,-51.97678110463,-3.758,-3.49,0.3187,16.72677,0.2
8,5934714070865444736,243.66195374267,-51.96801014325,-4.02,-4.417,0.1428,17.20897,0.4
9,5934712627756430848,243.63786396237,-51.97920123796,-3.793,-3.557,0.0087,16.122574,0.1
10,5934714173944696320,243.65208972379,-51.94479221431,-3.56,-3.751,0.2131,17.593933,0.4
11,5934714758060370048,243.71081953004,-51.90068244638,-3.888,-3.457,0.1586,17.757473,0.1
12,5934714964218729728,243.63728842852,-51.88410971776,-4.286,-4.275,0.2918,13.7239,0.1
13,5934714272670435712,243.65393926807,-51.9331270484,-3.406,-4.129,0.0471,17.431433,0.4
14,5934714242664180480,243.6827538847,-51.92609132785,-3.219,-3.871,0.226,15.724333,0.1
15,5934714586261596928,243.63624543673,-51.90651505444,-4.647,-4.228,-0.0637,17.737808,0.5
16,5934712902634388224,243.5999149875,-51.95664096024,-3.72,-3.887,-0.0045,16.87002,0.1
17,5934715097280408832,243.65070594085,-51.85356695418,-4.501,-4.786,0.2252,17.921337,0.1
18,5934712833878970880,243.61801384821,-51.97755465922,-4.513,-4.681,0.3089,17.917387,0.1
19,5934714277023922048,243.66735465792,-51.92973333149,-4.605,-4.014,0.1977,16.320759,0.1
20,5934712765195422208,243.56434539033,-51.98168782925,-3.314,-3.579,0.3121,13.746101,0.1
21,5934712833914896512,243.6042847287,-51.96813043774,-3.856,-4.441,0.2772,15.020218,0.3
22,5934713899066786304,243.73072321281,-51.91615864067,-3.974,-3.819,0.1606,16.428688,0.2
23,5934714345743386240,243.6334781529,-51.95452821208,-3.982,-4.987,0.3467,13.059214,0.4
24,5934714135207365120,243.6373691432,-51.95514638051,-3.696,-4.297,0.2097,17.241447,0.3
25,5934714959846047616,243.64613839431,-51.88853976476,-3.84,-5.114,0.1127,16.635254,0.1
26,5934714689340793472,243.67693553686,-51.91524072856,-3.436,-4.979,0.2942,15.945488,0.1
27,5934714483182363392,243.65270552731,-51.92509433229,-4.664,-4.262,-0.0488,16.756865,0.5
28,5934714654981060864,243.69891376736,-51.89971490456,-4.531,-4.587,-0.1097,16.484776,0.4
29,5934714723700536448,243.69388319209,-51.9037418753,-3.466,-3.783,-0.1619,17.392008,0.2
30,5934712657735401984,243.63412479234,-51.96905393574,-3.702,-4.008,0.2409,16.975006,0.2
31,5934714753718449920,243.71890677445,-51.89733344406,-3.264,-3.958,0.1703,16.275618,0.2
32,5934714070865608320,243.65748356228,-51.96665756635,-4.378,-4.109,-0.0635,17.107214,0.4
33,5934714616246602240,243.69479330285,-51.92410157602,-3.054,-4.357,-0.0056,17.706303,0.1
34,5934714517542117376,243.63975321757,-51.90892364569,-3.824,-5.282,0.3048,16.914139,0.1
35,5934714826779762816,243.70009429423,-51.88417772452,-4.061,-4.12,-0.0296,17.17349,0.4
36,5934714414462936320,243.61732010509,-51.93297400078,-3.933,-4.449,0.1205,16.517534,0.7
37,5934714448822675200,243.60872709896,-51.92294279378,-3.993,-5.05,0.3275,16.366402,0.2
38,5934714895499246080,243.65397309708,-51.89448928038,-3.509,-3.609,-0.0429,15.975786,0.1
39,5934714448822647552,243.60784853258,-51.91297237525,-4.394,-5.017,0.3155,14.944523,0.2
40,5934714895499243904,243.6638840016,-51.89342757013,-4.2,-4.416,0.1643,16.86734,0.6
41,5934714551901860480,243.62605657562,-51.90867415186,-3.514,-4.312,0.0542,14.631202,0.6
42,5934714758060280448,243.70524614705,-51.89058029399,-3.28,-4.168,0.1693,17.347948,0.1
43,5934714448822632448,243.62069234239,-51.92909744366,-3.896,-4.445,0.1081,14.922579,0.8
44,5934714414462894976,243.6073278756,-51.93320476337,-3.169,-3.876,0.1244,17.477446,0.2
45,5934714689340802432,243.66902481323,-51.90733481674,-3.659,-4.441,0.2949,12.062655,0.3
46,5934714483182372608,243.6407734412,-51.9176032379,-3.374,-4.034,0.22,16.18553,0.3
47,5934714826779761536,243.70564189271,-51.88305299004,-3.836,-4.365,0.0133,15.382898,0.7
48,5934714826779764096,243.69021294076,-51.88693566214,-3.64,-4.736,-0.0211,17.049316,0.4
49,5934714105225187200,243.67572223685,-51.95924495767,-3.394,-4.403,0.3693,16.876547,0.1
50,5934714788044498816,243.72905232908,-51.89488268659,-4.226,-3.838,0.2074,17.610012,0.1
51,5934714173944682752,243.66223106345,-51.95251264229,-3.365,-4.141,0.3026,17.808846,0.3
52,5934712730835680384,243.59712679146,-51.97165980966,-3.793,-4.688,0.2805,15.552422,0.1
53,5934715032902828288,243.68461843535,-51.87399510687,-3.344,-4.202,0.3149,17.977907,0.2
54,5934714375725628928,243.63218899783,-51.92643171995,-3.169,-4.056,0.0992,17.430317,0.2
55,5934712730835671808,243.59196457641,-51.98100066628,-4.129,-4.034,-0.0136,17.679695,0.4
56,5934714551866141952,243.62196106325,-51.90524027473,-3.712,-5.044,0.172,17.76675,0.2
57,5934714616243843968,243.69500956236,-51.91373892995,-3.332,-4.287,0.3558,17.909946,0.2
58,5934714070829522304,243.65933033594,-51.96645972414,-3.65,-4.906,0.2291,16.864752,0.1
59,5934720667935951872,243.72114919597,-51.86746512149,-4.134,-3.917,-0.0563,16.70721,0.4
60,5934720874094429440,243.72743568801,-51.8321564629,-3.953,-4.201,0.1037,17.01567,0.7
61,5934721144598969216,243.69938990639,-51.81083951712,-3.459,-3.645,0.1021,16.949036,0.1
62,5934721011533403520,243.6831312675,-51.83474441984,-3.649,-3.597,0.3788,15.460763,0.1
63,5934721007157208960,243.67111109779,-51.83505336927,-4.358,-4.022,0.1836,17.804335,0.3
64,5934721114612636032,243.71797906767,-51.80841509934,-3.169,-4.048,0.3376,16.828901,0.1
65,5934721148972396160,243.68287772839,-51.80429321009,-3.511,-5.181,0.2064,16.5155,0.1
66,5934720702295893888,243.72724265802,-51.85793625181,-3.146,-3.948,0.0631,17.917934,0.1
67,5934721148972498048,243.68457902763,-51.81335499129,-3.747,-3.652,0.3456,16.022354,0.1
68,5934903324247504256,243.53058343347,-51.84497364072,-3.755,-4.357,0.1686,14.542474,0.6
69,5934908718726989824,243.66360003072,-51.81501400893,-3.596,-4.032,0.3171,14.685879,0.1
70,5934909990037386880,243.56677261523,-51.73548625175,-3.98,-4.208,0.1927,17.094141,0.5
71,5934909886958545664,243.57508693884,-51.75238541018,-3.91,-3.819,0.1376,16.809198,0.1
72,5934902980650119040,243.56136779045,-51.83347034665,-3.885,-4.111,0.1435,14.343742,0.6
73,5934905076594231680,243.41096760971,-51.83482150343,-3.158,-3.695,0.1137,17.535723,0.2
74,5934908924885840768,243.64864674589,-51.77833684114,-4.465,-4.224,-0.1987,17.442204,0.2
75,5934901881138488832,243.4298902461,-51.88974713983,-4.019,-3.663,0.1536,17.233194,0.3
76,5934899991352723840,243.51069709349,-51.99864670483,-4.356,-4.369,0.0139,16.734571,0.5
77,5934904110193106688,243.49836876968,-51.77291993048,-3.331,-4.467,-0.0169,17.047726,0.3
78,5934900094431954816,243.51690092964,-51.97142665024,-3.612,-5.076,0.3018,16.156723,0.2
79,5934902602692992256,243.54922330275,-51.84286468044,-3.894,-3.407,0.1757,16.46272,0.3
