,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2205067687592501248,334.718670567,63.17754945717,-2.517,-2.317,1.0529,10.912497,1.0
1,2205067893750935424,334.78441547061,63.17941233992,-2.614,-2.169,1.0193,15.854023,1.0
2,2205067893750934784,334.8045464581,63.19168195564,-2.64,-2.971,1.0793,16.976444,0.7
3,2205072356211632768,334.77676259413,63.29194052986,-2.333,-1.83,0.9574,17.806925,1.0
4,2205071669018667776,334.59995573421,63.21753759319,-2.466,-2.627,1.123,15.647927,1.0
5,2205054386068007168,334.7706914252,63.07245284231,-2.746,-2.35,1.0197,11.900322,0.9
6,2205068374787282816,334.94636682095,63.16992077334,-2.908,-2.2,1.1728,15.548853,1.0
7,2205070878742835200,334.64886469387,63.20348094538,-2.311,-2.09,1.0907,17.21633,1.0
8,2205065729087168384,334.49716655295,63.20001239107,-2.465,-2.178,1.0791,14.232578,1.0
9,2205054527812723200,334.8488790223,63.1024131384,-2.663,-2.803,0.9889,17.964376,0.7
10,2205072218772214656,334.71663977223,63.2802063074,-2.172,-2.556,1.0805,11.943674,1.0
11,2205054733971154944,334.89468435022,63.10801731575,-2.582,-2.503,0.9716,16.840467,0.9
12,2205065935245594496,334.50858836787,63.22313617981,-2.723,-2.288,1.0539,12.923794,1.0
13,2205072528009859072,334.7259571352,63.31007454402,-2.01,-2.841,1.1043,12.199423,1.0
14,2205065660367698432,334.52933549196,63.18964883694,-2.399,-2.304,1.156,17.042799,1.0
15,2205070917401034624,334.60487586839,63.21503295772,-2.516,-1.881,1.1603,17.718493,1.0
16,2205064595215818240,334.53076637412,63.15203171211,-2.461,-2.362,1.0638,14.866198,1.0
17,2205070642530067840,334.63553151132,63.19249796174,-1.771,-2.863,0.8166,16.397799,1.0
18,2205073146485621376,334.86743616984,63.32116036609,-1.903,-2.527,1.1637,17.519125,1.0
19,2205071295365102848,334.85430944568,63.26742204255,-1.708,-2.781,1.0938,12.370415,1.0
20,2205061502839378560,334.55193412822,63.10991645043,-2.585,-2.455,1.0386,16.064728,1.0
21,2205072497955851392,334.69622186271,63.29706479642,-2.106,-2.158,1.0784,11.036719,1.0
22,2205072016919511808,334.55721221544,63.25505750827,-2.576,-2.342,1.0374,12.706777,1.0
23,2205072635394806400,334.74554829536,63.31098793669,-1.871,-1.774,1.045,12.664433,1.0
24,2205067343994912640,334.6946548088,63.14303116523,-2.154,-2.461,1.0694,16.264774,1.0
25,2205066141404250112,334.53149818599,63.25102922718,-2.684,-1.911,1.0912,17.208054,1.0
26,2205072497955850240,334.69609756331,63.30353590659,-2.105,-2.085,1.0562,12.924523,1.0
27,2205072119998728576,334.66096137997,63.28549720598,-2.526,-2.152,1.0383,11.029634,1.0
28,2205072532315590272,334.73215498188,63.30892125339,-1.72,-1.493,1.1089,10.597019,1.0
29,2205072532315590912,334.72895408422,63.30468639779,-2.439,-2.343,1.0409,13.82368,1.0
30,2205071776401348096,334.62206731151,63.2528373128,-2.104,-2.156,1.0379,16.835758,1.0
31,2205070947463677824,334.63197110987,63.22794197476,-2.572,-2.36,1.1154,17.92041,1.0
32,2205071776401348992,334.62809153604,63.2465684917,-2.45,-1.86,1.0721,10.305203,1.0
33,2205072429236378752,334.75794841749,63.30344199151,-2.113,-1.339,0.9848,17.397144,1.0
34,2205071673322134912,334.58617823812,63.22554170142,-2.339,-1.825,0.9214,17.747473,0.9
35,2205072360516903424,334.77464660088,63.30436045451,-1.597,-2.073,0.8096,17.15916,1.0
36,2205072223077950080,334.72540851055,63.28124911418,-2.602,-2.546,1.0459,14.367064,0.9
37,2205070951767631616,334.6393427324,63.23157674768,-2.48,-1.863,1.0534,15.621893,1.0
38,2205071673322137088,334.615824893,63.22289240389,-2.062,-2.27,1.039,7.648565,1.0
39,2205071673322136960,334.60432984702,63.22003129742,-2.229,-2.064,0.908,8.494226,1.0
40,2205072394876643968,334.79901104233,63.29976929777,-1.533,-2.473,1.2178,15.296016,1.0
41,2205070917407893760,334.61145262887,63.21728141248,-2.324,-2.482,1.0534,16.196995,1.0
42,2205071089206586624,334.70198149158,63.25149316265,-3.151,-2.443,1.1257,17.246204,0.9
43,2205070951767632896,334.63777692383,63.22483382017,-1.637,-2.295,0.8331,16.958498,1.0
44,2205071432803971840,334.75386892521,63.26152565593,-2.53,-1.962,1.0126,16.667831,1.0
45,2205070883048159232,334.65478661047,63.20708867843,-2.701,-2.368,1.1989,17.886156,0.9
46,2205072841553247744,334.84798609215,63.28633684935,-1.998,-3.112,0.9144,16.967653,0.8
47,2205064698295257088,334.63089291131,63.17382924369,-2.217,-2.337,1.0241,17.401403,1.0
48,2205071329724761344,334.79807320047,63.25522002342,-2.256,-2.446,1.0393,10.841753,1.0
49,2205072875912988928,334.89993826552,63.29374192043,-1.364,-2.394,0.9431,17.296339,1.0
50,2205071157926071936,334.79963340183,63.24030655719,-1.867,-2.345,1.04,14.118665,1.0
51,2205072807193513856,334.90821439277,63.2861493138,-1.775,-2.105,1.1073,14.951183,1.0
52,2205827450124944768,334.50876536275,63.41854019859,-2.888,-1.652,0.9778,17.538702,0.5
53,2205824632626407040,334.57975379349,63.40253174094,-2.559,-2.374,1.0511,17.304577,1.0
54,2205823425732191360,334.74757641479,63.37539978689,-1.891,-3.097,1.2547,17.903036,0.9
55,2205816970404764416,334.43643431185,63.26745636631,-2.387,-2.456,0.9979,17.790434,0.7
56,2205822674121340544,334.60099867135,63.2867029643,-2.189,-2.01,1.0172,15.76911,1.0
57,2205823189517415680,334.65811521514,63.31479324777,-2.744,-2.798,0.9046,16.575897,0.6
58,2205825113662760704,334.74839498477,63.38527141708,-2.52,-2.046,1.0879,15.315192,1.0
59,2205817172260663680,334.33165353237,63.23984707211,-2.413,-2.3,0.9946,16.07168,1.0
60,2205827450120025600,334.50206387376,63.40420453369,-2.925,-2.784,0.9305,17.319208,0.5
61,2205822910336097664,334.54393901669,63.30123208941,-2.697,-2.264,1.1248,17.79306,1.0
62,2205823219573748096,334.70065764955,63.32363722231,-2.02,-1.783,0.998,17.089731,1.0
63,2205816553784491776,334.38269641128,63.25091318327,-2.143,-1.485,0.873,15.512921,1.0
64,2205816347626888064,334.33637709565,63.20508099012,-2.132,-2.888,0.8714,17.719355,0.8
