,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5870530526239305600,206.5697235823,-59.79827099215,-28.972,-10.021,4.0822,17.578985,0.1
1,5870537020230019584,206.58987983428,-59.62440215555,-30.137,-10.699,4.1979,17.5675,0.8
2,5869308968797189120,205.49424891637,-59.18860773087,-30.033,-10.42,4.179,10.219329,0.7
3,5869308964485583616,205.4951224166,-59.18873445906,-30.526,-9.916,4.1415,9.133038,1.0
4,5869312232987105792,205.45740434849,-59.14317606511,-30.461,-9.736,4.2445,13.88421,1.0
5,5869309278049581056,205.59395306243,-59.15605265858,-29.952,-10.31,3.9792,16.779621,0.4
6,5869931086257450624,203.92077212454,-59.56978137614,-30.62,-10.21,4.0417,13.616941,0.9
7,5869928715435312896,203.64610318036,-59.69967786246,-30.593,-9.539,4.1285,16.969875,1.0
8,5869985065412592128,203.01990583,-59.63857615908,-30.344,-9.285,4.0452,15.139883,0.5
9,5870031038725231360,204.80590956261,-59.34914196857,-31.455,-10.086,3.9425,17.151762,0.7
10,5870033267759721344,204.55111872333,-59.35075088213,-30.033,-10.571,4.0337,17.631344,0.6
11,5869131260260228096,202.86834596899,-60.29944819442,-29.939,-9.11,4.0073,14.259027,0.1
12,5870061034779822848,204.88328464925,-59.0941242273,-30.451,-10.264,3.8742,17.297821,0.5
13,5870055464143741824,204.9317646862,-59.24588063768,-29.815,-9.866,4.0595,12.340015,0.4
14,5870063302523028224,205.07135228722,-58.97427184979,-29.814,-9.365,4.2855,15.16126,0.5
15,5870063680480158720,205.08732648078,-58.9722950567,-30.584,-9.577,4.2365,14.789595,1.0
16,5870069452916899584,205.21975955264,-58.93557624429,-29.934,-10.471,4.2907,16.713514,0.7
17,5869158473176231808,203.61629762438,-60.17818641936,-30.619,-9.983,4.1682,14.019403,1.0
18,5869155002842029696,203.97568644996,-60.041994801,-30.777,-9.977,4.1808,16.795141,1.0
19,5869197059134044544,204.91119750837,-60.03237711013,-29.896,-10.102,4.0913,13.670261,0.4
20,5870795061866221952,205.98868040922,-59.23603492149,-30.994,-10.603,3.9083,6.466424,0.9
21,5870795096225959808,206.00669860654,-59.23600529781,-31.023,-10.321,4.0939,7.817895,1.0
22,5869224272048948992,205.90240579503,-59.7175397939,-30.01,-10.746,3.9798,16.23243,0.3
23,5869216678546035200,205.50073285482,-59.83432768102,-29.716,-10.141,3.9927,17.500805,0.3
24,5869219118087578112,205.78019848594,-59.73117901021,-29.901,-10.793,3.9423,16.90001,0.3
25,5869260246698262016,204.7490182001,-59.69535939113,-30.675,-10.685,4.0569,15.327222,1.0
26,5869260762094360320,204.82391365546,-59.66509187363,-31.89,-10.54,4.2532,16.05588,0.8
27,5869305876417935104,205.32563769035,-59.21063468395,-30.189,-10.494,3.9508,12.707627,0.5
28,5869305876417935232,205.32601677614,-59.2111611507,-30.252,-10.078,4.1253,9.853906,0.9
29,5869302406084164224,205.27376848609,-59.27060744091,-30.232,-10.27,4.163,11.740085,0.9
30,5869305842058149120,205.29022147269,-59.22781627643,-29.859,-10.158,4.1198,7.655622,0.5
31,5869305807715195648,205.34416989076,-59.23175478118,-30.399,-10.372,4.2077,10.684389,1.0
32,5869280965622302464,204.9029460287,-59.3224477914,-30.116,-9.915,4.0973,17.781446,0.8
33,5871642785324256384,205.35303868746,-58.43327464168,-30.047,-9.71,3.9989,16.662498,0.3
34,5871568499564025472,205.74517926108,-58.85056126247,-29.73,-10.226,4.1041,10.880879,0.4
35,5871568259045846272,205.78121765232,-58.86248553545,-30.696,-10.623,4.2632,13.107958,1.0
