,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5519597304008931328,122.82245716635,-46.22094748565,-6.5,9.806,2.9177,15.98184,1.0
1,5519584620959636352,122.67514489318,-46.43411447935,-5.993,9.091,2.7445,17.724401,0.8
2,5519571568558179328,121.58610946119,-46.19379322218,-6.431,9.158,2.6735,17.51609,0.5
3,5519595654741648128,122.91742711712,-46.21269550647,-6.27,9.051,2.7114,14.373548,0.7
4,5519594623949499136,122.94392106431,-46.25102752521,-6.928,9.859,2.9678,15.176004,1.0
5,5519595173705279104,123.01296937438,-46.20918958368,-6.705,8.997,2.8108,11.168647,0.9
6,5519577512800789504,122.10775847229,-46.01781852093,-6.449,9.633,2.7378,17.088636,0.8
7,5519595414223442688,123.01652925055,-46.17817801456,-6.305,9.795,2.6902,16.440228,0.6
8,5519590706939134336,122.70329115141,-46.32331959903,-6.47,9.654,2.8665,14.967549,1.0
9,5519589573067653888,122.50656389872,-46.33867219727,-6.533,9.733,3.0549,16.19292,0.9
10,5519561157565539968,122.24862868548,-46.14120611124,-6.602,10.169,2.9813,12.350289,0.9
11,5519587752001635456,122.70358990735,-46.32408449293,-6.732,9.528,2.9229,16.501513,1.0
12,5519578333131323008,121.99756248446,-45.99848969224,-6.964,9.427,2.7116,15.777791,0.2
13,5519584625265479680,122.67324250807,-46.42557008881,-6.6,9.19,2.7605,15.622149,0.8
14,5519597986904581504,122.76323731735,-46.18647576789,-6.161,8.948,2.8071,17.32173,0.6
15,5519568888506396288,121.91451100037,-46.17815071687,-6.422,9.267,2.783,14.974788,0.6
16,5519576855662547968,121.97987530397,-46.00761339958,-7.032,10.287,2.7086,17.893484,0.8
17,5519572564998249216,121.7358731464,-46.16674164338,-6.698,9.669,3.0148,16.420664,1.0
18,5519586240173266048,122.72377167677,-46.3969020962,-6.1,8.857,2.7037,14.746711,0.7
19,5516152461054480768,122.71944828108,-48.00824034166,-6.568,9.55,2.67,17.360514,0.8
20,5516168713213530752,122.64367484727,-47.89258856475,-6.819,9.77,2.9437,12.184077,1.0
21,5516168717515783808,122.64173943884,-47.89342263569,-6.742,8.846,2.8217,16.069262,0.6
22,5516157962918117120,122.22786900675,-48.1551280808,-6.365,9.128,2.7144,16.000927,0.8
23,5516172252263739648,122.91591713368,-48.01310756836,-6.635,9.221,2.8349,17.839407,0.9
24,5516157172643828096,122.49072627681,-48.08155592401,-6.452,9.922,3.0266,16.682234,0.7
25,5516152053042860672,122.69788135286,-48.07706679843,-6.421,9.607,2.896,15.234991,1.0
26,5516169404710537344,122.64759856906,-47.83616696906,-6.194,9.137,2.7508,14.405533,0.8
27,5516149888379331968,122.58465871498,-48.15810648617,-6.801,9.452,2.8073,16.479118,0.7
28,5516167755443050368,122.42976792148,-47.9371499832,-6.586,9.817,2.7901,5.166368,0.8
29,5516150575566976256,122.69802671113,-48.07766239647,-6.938,10.107,3.0562,16.596243,0.8
30,5516175864342434176,122.98344851896,-47.93156235249,-6.559,9.476,2.9141,16.736374,0.8
31,5516134014179433216,123.50860665255,-47.84354497831,-6.208,8.887,2.6842,14.902356,0.6
32,5516144734418758656,122.72276473648,-48.25635018822,-6.246,9.043,2.7194,10.505444,0.7
