,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2014475387087357824,345.23247321074,60.61838806025,4.862,-1.723,2.2556,17.955498,0.4
1,2014487992818298112,345.67917354967,60.66865512863,5.377,-2.113,2.2356,17.997349,0.6
2,2014487516081746176,345.50761587054,60.68377576532,5.073,-2.055,2.3024,16.924534,0.9
3,2014470095693695744,344.44311226211,60.49025649439,4.472,-1.868,2.1774,13.691091,0.6
4,2014458275943873792,345.17778484809,60.41426845742,4.69,-2.107,2.3194,15.41853,1.0
5,2014493524732633472,346.12847353962,60.81417867501,4.909,-1.97,2.5018,17.901354,0.6
6,2014472294717183872,344.68504408453,60.58876109916,5.031,-1.929,2.437,17.611984,0.8
7,2014464563775893504,344.49087437515,60.35543983753,4.804,-2.095,2.3419,14.948107,1.0
8,2014474425020769024,344.91048274821,60.58082537755,4.687,-2.031,2.4699,13.767581,1.0
9,2014453774818090880,344.64481907954,60.32166667675,4.732,-2.199,2.2694,9.721134,1.0
10,2014463258106053376,345.29423244747,60.58341696077,4.821,-1.944,2.3842,13.250895,1.0
11,2014459306735988992,344.8683762872,60.36449445614,5.908,-1.95,2.0479,15.494081,0.3
12,2014463842221405184,344.41474259606,60.29343385409,4.645,-1.85,2.3617,15.943292,1.0
13,2014472049900011264,344.71761228995,60.57952009448,5.927,-1.933,2.1316,17.135712,0.5
14,2014455905121936384,345.10310411305,60.3716139472,4.905,-2.041,2.3509,14.904957,1.0
15,2013249770929645568,345.36700886778,58.17743716396,6.161,-1.182,2.2244,17.147375,0.3
16,2013202393151565056,343.48847398405,58.18314439925,5.436,-2.194,1.8432,11.181522,0.2
17,2013216652443875840,344.44106907327,58.3103459755,5.435,-2.089,1.9903,14.447594,0.1
18,2013238230359445888,344.25123045478,58.5436181876,5.048,-1.236,1.8696,13.328246,0.3
19,2013250324982951552,345.46787710365,58.21913471881,5.616,-0.737,2.5753,17.215775,0.6
20,2013245823861855872,344.6824732653,58.7113050173,5.163,-1.451,1.9336,16.124968,0.4
21,2013250428062160384,345.48188072563,58.23886883347,5.557,-1.287,2.2271,17.162354,0.9
22,2013220084110059776,344.2544270045,58.32434712357,5.211,-1.211,2.0011,12.691275,0.5
23,2013246785934500608,344.59658286978,58.72669694244,5.798,-1.834,2.107,17.132374,0.5
24,2013252798884099328,345.66964834634,58.33045917466,5.418,-1.502,2.2293,16.696646,0.7
25,2013229395598201088,344.7426002241,58.5692108632,4.923,-1.476,1.9231,8.463081,0.2
26,2013232114326349184,345.05492294846,58.71320761619,5.579,-1.265,2.3014,15.142385,1.0
27,2013231530210808448,344.98255646464,58.6701602202,5.539,-1.603,2.0372,11.892808,0.9
28,2013197376629799296,343.35733651916,58.02876926692,5.11,-1.613,1.9169,17.096613,0.2
29,2013253039402607616,345.74855092927,58.37559539617,5.179,-1.313,2.131,16.67656,0.5
30,2013206958691529344,343.75721446429,58.22408394636,5.38,-1.201,1.9804,17.852089,0.5
31,2014546679248796928,343.11478611858,60.26800337989,4.934,-1.703,2.3804,17.296066,0.6
32,2014503665158704000,345.32253222333,60.78186914063,5.5,-1.324,2.3499,13.577258,0.9
33,2014536783643524736,342.69361778682,60.03150670017,5.036,-2.474,2.0736,12.578711,0.1
34,2008185149792255616,341.22768388806,58.28080207742,5.329,-1.538,2.0394,15.375328,0.5
35,2008192124819226624,341.6123301813,58.38447000943,5.256,-1.548,2.0369,17.487589,0.4
36,2013290830820919040,346.18894472215,58.73764352962,5.72,-1.934,2.2494,16.850042,0.2
37,2013257196930884736,345.63249978827,58.43589394463,5.084,-1.559,2.0929,16.029633,0.3
38,2013304059312571392,346.19927692987,58.8354071862,4.967,-1.408,2.1601,15.643885,0.5
39,2013282279539670784,345.7659332807,58.74948236177,5.703,-1.733,2.1876,10.966682,0.4
40,2013304063614463744,346.20219627731,58.83513035137,4.962,-1.016,2.0056,16.990625,0.8
41,2013290972554168704,346.25969392551,58.76631321244,5.721,-1.641,2.0429,10.676606,0.8
42,2013290835115216128,346.18775076185,58.73479416172,5.438,-1.643,2.0648,8.223759,0.8
43,2013272074697195904,345.25018353813,58.49355636938,4.845,-1.231,2.0348,17.631615,0.6
44,2013261526257978752,346.18916126329,58.54834271418,5.891,-1.58,2.1376,16.89272,0.7
