,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,507199422493793408,31.86262555756,60.14920423065,-1.091,-0.127,0.3345,17.824213,0.2
1,507216331790142080,31.5938374641,60.31719490665,-0.812,-0.449,0.2943,16.91475,0.7
2,507213342493012096,31.66417199633,60.30966573705,-0.676,-0.206,0.2352,14.904722,0.4
3,507216159991452928,31.57570688568,60.30767632019,-1.1,-0.588,0.3161,15.714152,0.2
4,507213101974847616,31.72686430059,60.28082579906,-0.83,-0.083,0.223,15.433295,0.1
5,507213067615109760,31.7159817514,60.27905793027,-0.043,0.215,0.3037,17.594952,0.1
6,507215880812130560,31.62435042275,60.28774405274,-0.8,-0.138,0.3828,17.34042,0.4
7,507212105542437888,31.83377124906,60.25955141765,-0.782,-0.419,0.3518,13.178377,1.0
8,507212311700868864,31.80465199598,60.25800720176,-0.65,-0.215,0.3863,17.41083,0.3
9,507212105542437120,31.8147707109,60.26485943227,-0.703,-0.585,0.3417,17.98603,0.8
10,507212277341129216,31.79051471914,60.2633703282,-0.765,-0.623,0.3216,15.929223,1.0
11,507212105542437504,31.82619734456,60.26057750882,-0.791,-0.62,0.3589,14.316936,0.9
12,507212277341132160,31.78078777647,60.25355150248,-0.833,-0.825,0.437,14.965457,0.4
13,507199976554806784,31.91597089746,60.19802102398,-1.184,-0.306,0.2702,17.887257,0.2
14,507212071182702976,31.80278152668,60.24602153891,-0.766,-0.595,0.3224,15.544544,0.9
15,507213132029464064,31.75999535641,60.29090258617,-0.308,-0.405,0.3756,17.979315,0.2
16,507212101236824576,31.83740295373,60.25700109036,-0.729,-0.397,0.2625,12.984174,0.8
17,507198602165291648,31.88589097876,60.12776847638,-1.141,-0.554,0.3499,17.469809,0.2
18,507198602165289344,31.89056779751,60.13510878006,-0.862,-0.909,0.4046,14.441397,0.3
19,507200182713430400,31.864067859,60.21177107711,-0.135,-0.028,0.2227,17.716219,0.2
20,507212105532934528,31.82747952642,60.26031285291,-0.867,-0.301,0.3815,16.091293,0.7
21,507211761945062784,31.7471309524,60.23264825817,-0.83,-0.92,0.3842,16.504957,0.1
22,507200148353497472,31.83284649427,60.20889614946,-0.927,-0.678,0.4878,16.049194,0.6
23,507199942195068544,31.94736263927,60.19541467391,-0.662,-0.422,0.3707,14.533086,0.8
24,507211899384015744,31.81599525869,60.22991322772,-0.823,-0.577,0.4946,16.866571,0.4
25,507200079634022272,31.87570132001,60.19843152491,-0.211,0.284,0.4226,17.120148,0.3
26,507199559932749312,31.78214099707,60.15379141916,-0.629,-0.795,0.3211,17.68444,0.4
27,507212105542439808,31.8327183282,60.25320798819,-1.084,-0.413,0.217,16.922373,0.2
28,507212036822963200,31.83671172049,60.25216013322,-0.893,-0.928,0.434,17.618633,0.3
29,507211727585327872,31.72777230563,60.21322797731,-0.434,-0.33,0.3589,16.939692,0.3
30,507212449139833344,31.69214729172,60.21673924784,-1.103,-0.39,0.3616,13.759071,0.3
31,507212105542439680,31.81829534407,60.25420975296,-0.595,-0.624,0.3771,8.429069,0.9
32,507211693225591168,31.69098587015,60.20938114043,-0.831,-0.291,0.3213,16.475855,0.4
33,507211487067161088,31.80843318294,60.20084643324,-0.602,-0.121,0.2245,16.322214,0.1
34,507211658865854976,31.69141717045,60.19864196047,-0.763,-0.448,0.3297,15.368323,0.9
35,507200079634022528,31.86234148451,60.19836518209,-0.727,-0.387,0.2141,16.951376,0.7
36,507199942195069568,31.94335515907,60.19055962655,-0.304,-0.644,0.3384,17.055983,0.1
37,507211590146380288,31.71545758985,60.18912961022,-0.459,-0.258,0.4467,15.891554,0.4
38,507211315268478080,31.75815793425,60.16821795313,-0.81,-0.17,0.3254,15.432416,0.4
39,507210834232140288,31.60064499612,60.18127378951,0.028,-1.035,0.212,16.175276,0.1
40,507199491213257728,31.79811263648,60.13443484789,-0.48,0.173,0.4106,17.670563,0.1
41,507199358079532928,31.86514168145,60.13962167711,-0.732,-0.081,0.5103,15.229759,0.2
42,507212105532939008,31.8316249676,60.25285698895,-0.911,-0.562,0.182,17.9941,0.3
43,507199770396387584,31.90151626964,60.15556177969,-0.721,-0.562,0.3856,15.034987,1.0
44,507200247127554304,31.85899798419,60.21887041185,-0.404,-0.527,0.2865,16.376244,0.6
45,507199495518487680,31.81665899678,60.13831484455,-1.031,0.343,0.3897,17.060955,0.1
46,507200281487299328,31.85633748805,60.23139879978,-1.148,-0.182,0.3807,17.788801,0.1
47,507199220640588032,31.86286221796,60.11192888385,-0.802,-0.459,0.2445,16.398066,0.4
48,507212032517347968,31.84243704536,60.2557451212,-0.748,-0.547,0.2873,12.790415,0.9
49,507199285054819456,31.81238242345,60.12680021681,0.123,-0.154,0.1669,17.379627,0.1
50,507213273773729152,31.680622517,60.29597266453,-1.103,-0.534,0.4639,9.935935,0.3
51,507213479932158080,31.69214243782,60.32345276524,-0.945,-0.338,0.3419,16.581589,0.6
52,507213479932158336,31.69286718464,60.31975291103,-0.795,-0.405,0.2892,16.38277,1.0
53,507211521427075328,31.76023296138,60.19932236879,-0.84,-0.312,0.3374,16.547625,0.6
54,507211688920425984,31.69790129985,60.21267285135,-0.78,-0.536,0.2911,17.759228,0.6
55,507588409093354880,31.86255954012,60.37406072984,-0.754,-0.761,0.2848,16.854128,0.5
56,507575528492590976,31.89123070989,60.23200029872,-0.68,-0.497,0.287,15.390407,0.9
57,507587382602314624,31.86169046258,60.2657388343,-0.784,-0.33,0.4369,17.453064,0.7
58,507575700291262976,31.95493636001,60.26961789122,-0.191,-1.111,0.1815,16.91864,0.2
59,507575734651002624,31.90676821297,60.27076602729,-0.788,-0.354,0.2956,14.987087,0.7
60,507587348242581504,31.84794583874,60.25746955254,-0.689,-0.632,0.3182,14.474509,1.0
61,507587485681518592,31.89860914185,60.28179520265,-0.65,-0.437,0.331,17.403673,0.5
62,507587657480209152,31.82836414917,60.28834580057,-0.71,-0.362,0.3644,14.429038,0.8
63,507575116175709440,32.07112923564,60.26269015512,-0.347,-0.91,0.2572,17.854345,0.1
64,507587554400993280,31.8712234713,60.28648932949,-0.457,-0.606,0.2283,16.754065,0.5
65,507587382602309120,31.86638403135,60.27389984571,-0.691,-0.568,0.4436,16.484295,0.9
66,507589650344982144,31.96136103645,60.37491036736,-0.96,-0.279,0.2478,17.253355,0.2
67,507575764709491712,31.90839910337,60.27719028873,-0.788,-0.792,0.4764,17.956642,0.6
68,507574222822548352,32.01309189053,60.1714926802,-0.2,-0.31,0.4852,17.71031,0.2
69,507574428980975872,31.99283486039,60.19015216016,-0.232,-0.69,0.1723,17.720436,0.2
70,507574463340710784,32.00722202495,60.20270677027,-0.472,-0.296,0.3457,17.934557,0.4
71,507574836996493696,32.11667571773,60.23085100517,-0.537,-0.218,0.2699,17.592545,0.1
72,507571336604524032,32.07857876867,60.17721935867,-0.326,-0.061,0.2109,17.869486,0.1
73,507587348242649344,31.86843909455,60.25099140642,-0.39,-0.622,0.3444,14.34397,0.3
74,507575631571794048,31.88555550811,60.26193747061,-0.847,-0.513,0.4435,17.326134,0.6
75,507587416962051328,31.83154581991,60.27017284411,-0.145,-0.938,0.2419,17.543545,0.2
76,507587416962051072,31.84929462148,60.26918181828,-0.754,-0.883,0.2224,17.944216,0.1
77,507587416962050944,31.83685469566,60.2701199139,-0.886,-0.434,0.3901,16.542313,0.8
78,507575665931533312,31.93453951712,60.2570983736,-0.779,-0.63,0.2885,17.653389,0.3
79,507587382602311680,31.86679885371,60.26965923648,-0.839,-0.347,0.3237,12.358375,1.0
80,507574910017287552,32.08708743361,60.2481376721,-0.355,-1.299,0.3289,17.268988,0.2
81,507575592910752640,31.87756909499,60.24654978069,-1.07,-0.208,0.3894,15.60831,0.1
82,507587416962055424,31.84383122064,60.26315695613,-0.834,-0.443,0.3483,14.088381,0.8
83,507588134215418880,31.91506797692,60.35398289006,-0.468,-0.977,0.3951,16.016294,0.3
84,507574635139395584,32.00443839128,60.21772253931,-0.66,-0.454,0.2908,12.44996,0.9
85,507575528492591616,31.90702687485,60.22806123281,-0.85,-0.457,0.3511,15.462379,0.9
86,507575287974424320,31.97137793362,60.22071505927,-1.342,0.143,0.4026,15.96614,0.1
87,507575391053636224,31.97258138575,60.22996416235,-0.563,0.415,0.2638,16.545387,0.1
88,507575597212065920,31.87844644068,60.23796179696,-0.89,-0.698,0.3477,16.345858,0.7
89,507575597212065664,31.87649384704,60.24007539253,-0.871,-0.38,0.2259,15.808886,0.7
90,507587451321780096,31.8494641511,60.2852840582,-0.722,-0.41,0.3015,15.639707,0.8
91,507575597212065152,31.87867867042,60.24044042008,-0.774,-0.395,0.3896,15.305967,0.9
92,507587348242581248,31.84925736045,60.25818173729,-0.923,-0.384,0.2742,12.795818,0.8
93,507574806938080256,32.0872855726,60.23192307038,-0.88,-0.838,0.2998,15.621628,0.1
94,507575803370483584,32.01038554949,60.25658905883,-0.83,-0.458,0.3909,17.379374,0.5
95,507587382602386560,31.87354150898,60.26406215737,-0.626,-0.489,0.4195,17.130753,0.6
96,507575631571797504,31.89785134843,60.25593355571,-0.729,-0.295,0.3324,13.797138,1.0
97,507587416962056064,31.83381303118,60.26295182448,-0.545,-0.093,0.3371,16.318605,0.2
98,507587485681601152,31.87668441502,60.27535763239,-0.673,-0.557,0.443,17.143026,0.8
99,507575425413367168,31.97985802911,60.25049384546,-0.687,-0.399,0.4151,16.17201,0.6
100,507575665931535616,31.93427650343,60.25378111674,-0.616,-0.486,0.3271,16.142195,0.8
101,507575592910760832,31.88377576261,60.25255250089,-0.929,-0.551,0.3594,16.590643,0.8
102,507575661630259072,31.92020351545,60.26457785785,-1.329,-0.711,0.5114,17.058092,0.2
