,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2020530088407296256,296.25152306539,24.15447426442,-1.834,-4.982,0.3741,15.025579,0.4
1,2020538025507793536,296.70620975393,24.12376798858,-1.843,-5.052,0.44,16.605362,0.3
2,2020527472747629440,296.42365846237,24.10903904155,-1.842,-5.385,0.4509,17.082567,0.3
3,2020525587281040512,296.28347372781,24.04860930794,-1.63,-4.897,0.4906,15.80722,0.6
4,2020522804142278656,296.22440126061,24.05660287411,-2.052,-4.94,0.5394,17.023748,0.1
5,2020524281610888576,296.39226061641,23.99593329815,-1.771,-5.229,0.4576,15.495308,0.9
6,2020518951533149440,296.23015107532,23.96644530363,-1.547,-4.92,0.4659,14.753072,0.4
7,2020519471247611520,296.25152033294,23.99842878703,-1.691,-5.116,0.4011,14.968986,1.0
8,2020524247251161472,296.37327419377,24.00117895198,-1.561,-4.913,0.5122,14.409836,0.5
9,2020530191486503296,296.27738439301,24.14138681678,-1.549,-5.144,0.4217,15.818402,0.6
10,2020522769782545664,296.20697794412,24.03890021963,-1.684,-5.114,0.5052,15.317712,0.9
11,2020520536399552000,296.17169874354,23.98252805305,-1.608,-5.022,0.4168,15.563541,0.5
12,2020525484201782656,296.34157190962,24.05683327342,-1.557,-5.169,0.4665,16.788078,0.6
13,2020518062498293248,296.28458457496,23.9616562815,-1.614,-5.132,0.4303,15.620662,0.7
14,2020524247237030656,296.37214922572,23.99956461461,-1.663,-5.243,0.5163,17.60131,0.2
15,2020538128587019392,296.69738369321,24.13573589836,-1.662,-4.75,0.3878,15.557809,0.2
16,2020550704251408896,296.5764022675,24.17642450818,-1.678,-5.055,0.4742,15.89377,0.9
17,2020518062498296064,296.28247482774,23.96356937924,-1.634,-5.146,0.4238,14.29561,1.0
18,2020522323105965824,296.17242816359,24.02444469534,-1.827,-5.055,0.4541,15.955568,0.6
19,2020519952283698816,296.11155025082,23.93099236611,-1.691,-5.282,0.5623,17.190302,0.4
20,2020539880923584768,296.6930201833,24.1724137032,-1.46,-5.198,0.4275,15.56758,0.1
21,2020519952283697536,296.11384235009,23.92353457223,-1.65,-5.12,0.475,16.079859,0.8
22,2020525346762839552,296.3196682143,24.04307738678,-1.634,-5.196,0.4415,15.465168,0.8
23,2020524693927744640,296.41721475363,24.02306185816,-1.566,-4.854,0.4799,16.777824,0.6
24,2020517650181423872,296.27856683157,23.92714888936,-1.858,-5.306,0.4702,16.301802,0.8
25,2020550772970895744,296.56980703526,24.1813163234,-1.451,-4.885,0.4389,17.17015,0.4
26,2020532802826498176,296.37069605372,24.26192269645,-1.731,-5.0,0.3509,16.947824,0.3
