,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5329517410301676672,132.23231606101,-47.00756558299,-4.66,4.653,0.52,15.833717,0.4
1,5329516448229018880,132.30493749223,-47.02709503525,-5.26,4.447,0.4504,17.48084,0.3
2,5329517444661419264,132.24958965132,-47.00233886872,-5.416,4.856,0.454,14.363927,0.3
3,5329517135423777536,132.2634202142,-47.02027231303,-4.471,4.327,0.5841,17.82148,0.1
4,5329517032344563328,132.25599547824,-47.03912736966,-5.474,4.579,0.4195,17.289534,0.1
5,5329565617017595264,132.18031098965,-46.91120520695,-5.015,4.949,0.5644,15.893135,0.3
6,5329565857535762944,132.18199326119,-46.89137105897,-4.74,4.508,0.4364,15.311225,0.4
7,5329565857535763072,132.18540871681,-46.8875741466,-5.114,4.878,0.4127,14.186298,0.6
8,5329568812473251200,132.11131088964,-46.87554319839,-5.263,4.818,0.394,15.766776,0.3
9,5329569087351153408,132.10415114853,-46.85414093522,-5.159,4.7,0.4688,14.365771,0.7
10,5329568606315042816,132.08461834268,-46.89512712328,-4.993,5.16,0.4464,17.285284,0.2
11,5329563997797714560,132.18437846361,-47.01336355836,-4.582,3.9,0.4125,15.029231,0.2
12,5329564375756325632,132.20293881127,-46.99623641468,-5.484,4.664,0.5454,17.881289,0.1
13,5329565479578881024,132.14267603343,-46.941870699,-5.305,3.856,0.5986,17.332148,0.1
14,5329565513938624384,132.16438615995,-46.92708424242,-5.201,4.617,0.5307,12.629217,1.0
15,5329569877625122816,132.0576827907,-46.84951913848,-5.385,5.052,0.5279,15.600165,0.2
16,5329569946344608000,132.10198899138,-46.82721735439,-4.684,4.007,0.4155,16.000324,0.3
17,5329569980704349056,132.11489391563,-46.82340729671,-4.991,3.825,0.3978,15.567867,0.2
18,5329564620585452160,132.20341729372,-46.97169154446,-5.373,4.785,0.4932,15.817087,0.6
19,5329568846824204800,132.14581219229,-46.87491438881,-4.989,3.972,0.4278,17.749752,0.1
20,5329565303467760256,132.13442000036,-46.93463256934,-5.275,4.384,0.5265,12.856417,0.5
21,5329564551865984000,132.23298008467,-46.95802371882,-4.919,4.352,0.3981,16.200472,0.3
22,5329564517506244608,132.22155449912,-46.97412669411,-4.902,4.83,0.4973,17.633968,0.4
23,5329564448786771840,132.22742135496,-46.98024700529,-5.168,4.685,0.3993,14.861912,0.3
24,5329569048678673792,132.08289679508,-46.87386679676,-4.991,4.713,0.5647,17.292555,0.5
25,5329568365796879488,132.08397201127,-46.92181761993,-4.617,4.715,0.4768,17.68962,0.1
26,5329568297077403904,132.08399314692,-46.92541067977,-4.844,4.599,0.4629,15.893718,0.2
27,5329569804592998912,132.07125712455,-46.85925208912,-4.639,4.865,0.5023,17.357,0.3
28,5329607501532968320,132.4430114991,-47.00862578902,-5.27,3.789,0.4016,14.144367,0.2
29,5329610628268608384,132.42747214646,-46.98341046535,-4.601,5.336,0.4766,15.941129,0.3
30,5329620008477185024,132.56100863446,-46.76471037278,-4.228,4.89,0.507,16.146585,0.1
31,5329608910281766912,132.4855542415,-46.98633441794,-4.886,4.616,0.39,14.818789,0.4
32,5329612964730820096,132.49175944432,-46.88030355578,-4.27,4.589,0.4407,14.921462,0.2
33,5329607054856360192,132.40380194979,-47.0409680017,-5.371,4.686,0.431,15.726774,0.1
34,5329610696988065920,132.41799970791,-46.96836591523,-5.112,4.734,0.4237,16.41497,0.5
35,5329613067810018816,132.49111250393,-46.85517117477,-5.939,4.376,0.4997,16.324572,0.2
36,5329611968298291712,132.33435275746,-46.90260491792,-5.255,4.702,0.4525,14.753219,0.7
37,5329611933938555904,132.33527256494,-46.91398879032,-5.193,4.513,0.4607,14.847501,0.7
38,5329612071359247488,132.34923632922,-46.8823213598,-5.917,4.806,0.4805,16.615686,0.1
39,5329612277536074112,132.48100320053,-46.92274492917,-5.058,4.402,0.429,17.955263,0.4
40,5329611104991625344,132.29456385999,-46.98939093043,-4.684,4.576,0.4609,12.664246,0.4
41,5329608631092062720,132.57317407685,-46.9662567236,-4.865,5.092,0.4922,17.30553,0.1
42,5329611757828517120,132.40740137141,-46.91379481913,-5.892,4.844,0.5262,17.806604,0.3
43,5329612552413932544,132.45792297711,-46.89487776553,-4.609,4.657,0.433,17.439922,0.5
44,5329608944641514752,132.50244230509,-46.97397657522,-4.928,4.691,0.4159,15.602913,0.5
45,5329619836660491648,132.503781592,-46.80460629496,-4.418,4.917,0.5396,17.873802,0.2
46,5329610903146482048,132.40758851757,-46.96207874146,-4.501,5.384,0.4777,15.720689,0.3
47,5329610903146481152,132.41118868961,-46.95558076547,-5.102,4.623,0.4299,15.749443,0.8
48,5329615503040123136,132.59614805195,-46.88394979565,-4.665,5.212,0.4227,17.983078,0.2
49,5329610593908838912,132.40472517285,-46.96975963034,-5.236,3.991,0.4439,17.037859,0.1
50,5329611006225689344,132.4210413694,-46.92805308572,-5.109,4.524,0.5206,15.487893,0.7
51,5329612483694438656,132.42186254844,-46.92565412056,-4.55,4.949,0.375,17.612724,0.3
52,5329609902402834944,132.55863759754,-46.86933782912,-5.487,4.713,0.404,17.959002,0.2
53,5329613926803454464,132.48685775723,-46.82659923636,-4.593,5.13,0.3925,17.47067,0.4
54,5329610353376752896,132.35800422402,-47.00801904886,-4.481,4.248,0.525,17.678686,0.2
55,5329610937506214016,132.41873456299,-46.93450583372,-5.094,4.799,0.5814,17.825777,0.5
56,5329610147233059840,132.36338664243,-47.01284235526,-5.105,4.721,0.3895,16.639599,0.4
57,5329612483694431232,132.41913266825,-46.91827300795,-4.735,5.379,0.426,16.908651,0.2
58,5329613888132652672,132.45508189431,-46.83144198456,-4.778,5.023,0.3842,17.590977,0.1
59,5329613789364487168,132.45708012417,-46.84997309302,-4.299,5.245,0.4085,14.411093,0.2
60,5329614167303383424,132.43555818877,-46.80641244833,-4.612,4.922,0.5748,16.17468,0.2
61,5329613411407368576,132.44633287848,-46.87540497135,-4.748,4.526,0.4093,17.408417,0.5
62,5329612346255535488,132.47140581718,-46.9225273635,-4.423,4.801,0.4627,16.72293,0.4
63,5329613342687859712,132.40660286795,-46.87878446096,-4.631,4.695,0.4458,14.968631,0.5
64,5329610490830189312,132.40510216961,-47.00174072136,-5.294,4.563,0.4625,13.48344,0.7
65,5329607673331125760,132.4378794296,-46.98728556203,-5.044,5.336,0.5653,17.980469,0.2
66,5329612999090572416,132.51031222796,-46.86678221137,-4.393,5.227,0.4297,13.134934,0.2
67,5329612174456852224,132.4677085969,-46.93840515706,-4.166,5.015,0.3968,15.724296,0.1
68,5329610314719052032,132.32725688226,-47.00718013273,-5.381,4.724,0.5941,17.02086,0.2
69,5329607604612189184,132.46047816442,-47.00383348233,-4.403,5.17,0.4339,14.055973,0.2
70,5329613480126825856,132.43874828316,-46.85253493182,-4.546,5.336,0.4,15.589651,0.3
71,5329612479381151616,132.41554548336,-46.91115210253,-5.064,4.765,0.5601,12.357043,0.7
72,5329610903146478336,132.41154693335,-46.95158332215,-5.051,4.026,0.3835,16.32343,0.1
73,5329608910281768320,132.48472138811,-46.98940317741,-4.882,4.854,0.4012,12.807653,0.4
74,5329607153623080064,132.40302218581,-47.0175777979,-4.656,4.356,0.4946,17.300653,0.1
75,5329610142920345088,132.36706569027,-47.01211837085,-5.222,4.533,0.4182,17.587202,0.4
76,5329611590341199232,132.3598083983,-46.94789264889,-5.335,4.614,0.4903,16.363997,0.5
77,5329607570252433536,132.42836743043,-46.99223723867,-4.868,4.272,0.4013,14.928409,0.2
78,5329607535892693120,132.41555633665,-47.00401494109,-4.826,4.308,0.4199,15.514991,0.3
79,5329611727780156032,132.37946584657,-46.92254530374,-5.412,4.679,0.3888,16.36811,0.1
80,5329611590341202304,132.35985837728,-46.95437838545,-5.25,4.573,0.493,14.943355,0.9
81,5329609734915471744,132.51692291378,-46.91095963133,-5.438,5.019,0.4498,15.763805,0.2
82,5329620313406805120,132.50397732819,-46.74557680724,-5.791,5.117,0.509,15.850666,0.4
83,5329611070633344128,132.31963192659,-46.99634667387,-5.311,4.862,0.4659,16.60716,0.5
84,5329613445767089920,132.43103884656,-46.86843175878,-5.243,5.024,0.404,15.657168,0.4
