,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2033624683465994496,298.95962841659,31.56968782223,-1.933,-4.528,0.2942,17.01758,0.2
1,2033631868989730816,298.96416893016,31.6699418981,-2.253,-3.789,0.3224,15.982056,0.4
2,2033632517478989056,299.09557446161,31.65667266623,-2.344,-4.227,0.2731,16.046915,0.9
3,2033637469627082368,299.04521547075,31.78844131455,-2.066,-4.914,0.201,16.71895,0.1
4,2033633415178156288,299.09523309583,31.73867945585,-2.017,-4.035,0.1789,17.119276,0.2
5,2033633999293508992,299.02001729199,31.75309128682,-2.391,-4.121,0.414,16.185453,0.6
6,2033632242601375744,298.98310267311,31.69224410012,-2.211,-4.679,0.1647,17.784376,0.1
7,2033632831062279552,299.07592871615,31.69021589231,-1.693,-4.456,0.2556,17.411318,0.1
8,2033633415177831424,299.10846715984,31.73711187891,-1.476,-4.225,0.134,16.382025,0.1
9,2033630322801381248,298.99639785306,31.57255244768,-2.199,-4.211,0.2474,17.691086,0.5
10,2033624752185647616,298.9567234312,31.58602760044,-2.391,-4.645,0.2357,15.744115,0.1
11,2033630425880606720,299.00127747557,31.59257916487,-2.335,-3.758,0.2238,15.994305,0.2
12,2033633204674319616,299.15885464681,31.73472894266,-1.821,-4.592,0.1671,16.781404,0.2
13,2033634098038059520,299.03686682295,31.76314395483,-2.007,-4.587,0.1767,15.537907,0.1
14,2033633720080938112,299.04548031524,31.73543611299,-1.961,-3.845,0.1509,17.592485,0.2
15,2033630838197505024,299.00458039492,31.64092051521,-1.955,-4.982,0.1672,15.337033,0.1
16,2033634274171341568,299.08959855845,31.76747857544,-2.114,-4.07,0.37,15.32027,0.3
17,2033632792357111040,299.06003647949,31.68257286244,-2.123,-4.971,0.2696,17.927513,0.2
18,2033634274171350400,299.08413430051,31.76975906737,-2.879,-4.987,0.1657,16.205618,0.1
19,2033633170314530816,299.13283125268,31.72065073017,-2.225,-3.98,0.4125,17.55261,0.3
20,2033632384385781888,299.00458374151,31.7017798009,-2.271,-4.692,0.2997,17.097567,0.1
21,2033631250498566784,299.03560001807,31.66102183066,-2.479,-4.454,0.425,16.542923,0.1
22,2033633243379086336,299.17043189345,31.73432174483,-3.022,-4.789,0.1665,17.74078,0.1
23,2033633243379086080,299.16987516771,31.73093068197,-2.096,-4.253,0.326,17.01076,0.1
24,2033633243363052672,299.17324837905,31.74119131467,-2.274,-4.061,0.2407,17.38728,0.6
25,2033634235466530688,299.08023561792,31.75271909865,-2.671,-4.864,0.2081,17.83646,0.2
26,2033632178227338752,299.01688249602,31.70306403659,-3.007,-3.817,0.349,16.924332,0.1
27,2033633582631535232,299.13456760108,31.76368036946,-1.999,-4.324,0.2708,17.849997,0.1
28,2033631005650257920,299.06831981187,31.63028518832,-1.601,-4.362,0.4041,13.112304,0.3
29,2033630421542616576,299.00710445687,31.6011258413,-2.883,-4.272,0.4268,17.544266,0.1
30,2033630735102466048,299.00580955838,31.61049209919,-1.903,-4.463,0.2998,17.701693,0.2
31,2033634441625006976,299.07056452275,31.76754453718,-2.679,-4.346,0.2846,17.417423,0.3
32,2033633243379085696,299.17763851583,31.73778546118,-3.209,-3.86,0.294,17.796791,0.1
33,2033631246185657856,299.03480796509,31.66129016945,-2.933,-4.653,0.2014,17.823349,0.2
34,2033630975636727680,299.0573388222,31.63908050848,-2.195,-4.602,0.1695,17.918842,0.1
35,2033637607066023296,299.07619845251,31.81839944612,-1.978,-4.923,0.1885,17.147142,0.2
36,2033631525392334720,298.95809787201,31.64555784558,-2.39,-4.855,0.1842,17.065775,0.1
37,2033632246946833664,298.98853424757,31.68424436898,-2.436,-3.72,0.3745,17.331581,0.2
38,2033637607066032000,299.0645313058,31.81279374629,-2.559,-4.994,0.127,16.864744,0.1
39,2033632899781776256,299.06667510069,31.69786804728,-2.311,-3.708,0.2416,15.929011,0.1
40,2033632899781773184,299.07217584464,31.70312213603,-2.084,-4.206,0.1693,16.799568,0.2
41,2033631452326795520,298.97098526881,31.62462610864,-1.783,-3.403,0.1849,17.546965,0.3
42,2033633140300241792,299.13325718681,31.7179813493,-2.381,-4.27,0.3159,16.945883,0.6
43,2033631216154611200,299.02455987627,31.650922239,-2.075,-4.81,0.1619,17.323765,0.3
44,2033633651350790656,299.05882513667,31.71224885685,-2.127,-3.933,0.3299,17.257492,0.1
45,2033633655696046080,299.05976987355,31.71636666432,-2.079,-4.991,0.3103,17.30314,0.1
46,2033633758775257216,299.06735334393,31.72288447995,-2.047,-4.616,0.1596,17.22391,0.1
47,2033632895436455680,299.07361973575,31.70051129707,-2.707,-3.806,0.2678,17.750515,0.2
48,2033634377250559744,299.10271627051,31.79026312324,-1.826,-3.412,0.1586,16.549057,0.2
49,2033630322801377920,299.00310223917,31.57928982267,-2.203,-4.951,0.1535,17.44073,0.1
50,2033631113075356544,299.06089230646,31.66149739683,-2.505,-4.173,0.1749,17.535398,0.4
51,2033633586976520960,299.13576994723,31.77590989488,-2.767,-4.878,0.3879,17.107712,0.1
52,2033632968501226880,299.10158204119,31.72016843423,-2.289,-3.445,0.2296,17.010082,0.1
53,2033634407265336960,299.10740604816,31.7947872639,-2.522,-5.053,0.1302,15.556773,0.1
54,2033635304963598976,298.97497932827,31.72202888247,-2.466,-4.443,0.2373,16.82694,0.3
55,2033637469627079168,299.04952716767,31.7912798493,-1.816,-3.377,0.1465,17.71532,0.3
56,2033634033653453312,299.04641372959,31.75065998974,-2.228,-3.528,0.3815,17.846237,0.3
57,2033632143851867392,299.03983336861,31.69619326495,-2.278,-3.918,0.1946,17.989525,0.2
58,2033633342114017536,299.10682757558,31.73084260172,-2.405,-5.101,0.23,17.98977,0.2
59,2033633582631578624,299.13732392942,31.77431676188,-2.595,-4.74,0.1601,16.644514,0.2
60,2033631177460212480,299.03206596435,31.65053594502,-2.197,-3.81,0.1862,17.392317,0.3
61,2033624516004884608,298.98104670761,31.57077252711,-2.066,-4.072,0.3585,17.815022,0.3
62,2033633857509419008,299.07062064886,31.75605168323,-2.718,-4.1,0.2108,17.927197,0.3
