,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5528059008055234816,126.46990408036,-39.67484974166,-3.84,4.376,0.1975,16.998558,0.2
1,5528060176286341888,126.42077065392,-39.62401911514,-2.786,3.586,0.1505,16.072983,0.1
2,5528060176286342528,126.42085430682,-39.62632479501,-3.011,4.724,0.1621,16.64085,1.0
3,5528059901408433920,126.44382160213,-39.64724622558,-2.88,4.666,0.072,17.246403,0.9
4,5528053613576360704,126.34250691404,-39.71493615268,-3.115,4.22,0.1454,17.032137,0.7
5,5528060519883704576,126.46188664023,-39.60939989303,-2.245,4.324,0.0935,17.944727,0.2
6,5528054021591213312,126.3644733091,-39.67123152666,-2.757,4.84,0.0934,17.865788,0.7
7,5528060137624772608,126.44741448527,-39.61445403624,-3.011,4.265,0.0751,17.157907,0.7
8,5528053922813994496,126.36626574305,-39.69943581578,-2.768,4.668,-0.0095,17.31532,1.0
9,5528060038847399296,126.40600810002,-39.64544424959,-2.599,4.396,0.1723,17.466,0.6
10,5528060657322645248,126.47492989497,-39.58292445938,-3.296,4.437,0.0147,17.389978,0.5
11,5528060038847401216,126.39805102039,-39.64297712805,-2.847,4.4,0.1089,16.41569,0.9
12,5528053029460786560,126.4175559528,-39.7188455909,-2.57,4.285,0.0484,15.913244,0.3
13,5528059965825981952,126.40843186878,-39.65597483192,-2.946,4.532,0.1473,16.837788,0.9
14,5528053854094508032,126.39194581666,-39.690537651,-3.088,4.021,0.076,15.532382,0.3
15,5528054025893202432,126.36835958408,-39.67531000975,-2.943,4.58,0.1274,17.464111,0.8
16,5528060176286344320,126.41268662047,-39.62456125322,-3.119,4.054,0.242,17.843605,0.2
17,5528060073207133184,126.40167072055,-39.62887524081,-2.121,4.299,0.1478,17.618784,0.1
18,5528101442333489536,126.34236354653,-39.61925321347,-3.042,4.821,0.1677,16.852913,1.0
19,5528101373614012928,126.34689606804,-39.62465803917,-2.264,4.054,0.1474,17.105953,0.2
20,5528101167455580160,126.36070944081,-39.63405451461,-3.202,4.495,0.0888,17.270235,1.0
21,5528101098736102144,126.37361275204,-39.64611561558,-3.234,4.637,0.0982,17.245935,0.9
22,5528101442333486848,126.34532735009,-39.61537473691,-2.848,3.858,0.2158,16.19221,0.1
23,5528106969948123776,126.38180716119,-39.63255829962,-3.032,4.413,0.0788,17.475822,0.8
24,5528107386561287680,126.39059073233,-39.58795991301,-3.309,4.181,0.164,17.039564,0.5
25,5528101167455577088,126.36590531738,-39.63267973483,-3.201,4.484,0.08,17.008928,0.9
26,5528101614132216704,126.27377787464,-39.66033021465,-2.789,3.531,0.0148,17.93252,0.2
27,5528102022145814016,126.30249539594,-39.63725798794,-2.8,3.565,0.2968,17.52955,0.1
28,5528102090865288064,126.28915642402,-39.62979353817,-2.885,4.622,0.1407,17.319445,0.9
29,5528107828941781632,126.42062325166,-39.5554153665,-3.559,4.816,0.1294,17.210917,0.4
30,5528108206898894336,126.36002292235,-39.55983538926,-3.34,4.395,0.1369,17.132,0.5
31,5528108344337848448,126.31752867281,-39.5606965171,-2.826,4.17,0.0479,17.781794,0.2
32,5528102503182321536,126.28711820287,-39.56269354989,-3.758,5.053,0.1991,17.480282,0.1
33,5528101476693273472,126.25288554638,-39.67335022596,-2.822,4.536,0.1652,17.000195,0.8
34,5528108623518774144,126.38740106577,-39.5425663706,-2.419,4.245,0.1027,15.691564,0.3
35,5528107833244787584,126.41642019707,-39.55418913468,-3.047,3.829,0.2222,17.141962,0.1
36,5528107661446089216,126.4528084513,-39.55982016356,-3.485,3.702,0.0991,17.678957,0.1
37,5528107008611087616,126.3914780863,-39.62138317435,-2.682,4.506,0.1069,16.97222,0.8
38,5528108383000621952,126.32780085112,-39.54392771031,-3.73,4.354,0.1963,14.32375,0.2
39,5528107176106671488,126.39576759254,-39.59105867943,-3.285,4.68,-0.0136,17.517748,0.9
40,5528107347905357440,126.3657519248,-39.59019919263,-3.496,4.007,0.1449,17.101982,0.2
41,5528107180409771136,126.4027595328,-39.59679326582,-3.347,3.778,0.2161,17.15929,0.2
42,5528101128797451904,126.3594314888,-39.6410124416,-3.089,4.376,0.0786,17.244167,1.0
43,5528107180409772160,126.40054637322,-39.59739704133,-2.898,4.733,0.1207,16.37973,1.0
44,5528101133095844480,126.36099778456,-39.64152608816,-2.613,4.353,0.087,17.440811,0.8
45,5528101098736102912,126.37190393064,-39.64547884984,-2.918,4.465,-0.0129,17.768593,0.7
46,5528101373614007680,126.35545499871,-39.62112658095,-3.041,5.048,-0.0858,17.714514,0.8
47,5528101167455577216,126.36523779523,-39.63219078532,-3.012,4.487,0.0344,16.76343,0.9
48,5528101373614008192,126.35182281466,-39.61792915515,-3.841,4.192,0.2749,17.280539,0.2
49,5528101167455577600,126.36741019331,-39.63568715687,-2.984,4.654,0.0539,17.052124,1.0
50,5528101167455576320,126.36822689364,-39.63340149567,-3.015,4.776,0.1279,17.071972,1.0
51,5528101648491943808,126.29281257376,-39.64013204178,-2.669,3.785,0.1602,16.824343,0.2
52,5528101098736098688,126.37537155925,-39.63911770674,-3.045,4.649,0.0854,15.788569,1.0
53,5528101373614006144,126.35338400053,-39.61554683749,-2.869,4.478,0.2206,15.937463,0.9
54,5528107042970833792,126.37529157872,-39.62980183652,-2.794,4.765,0.1907,17.19185,0.8
55,5528107042970833536,126.36706735254,-39.61976683473,-2.791,4.537,0.287,17.008142,0.8
56,5528106974251356160,126.38289197486,-39.63719719997,-3.378,4.152,0.1814,16.082058,0.4
57,5528107146050191232,126.41444892983,-39.59327156736,-2.436,4.329,0.2385,17.99482,0.3
58,5528107279185850240,126.37652219432,-39.60160853837,-3.246,4.739,0.2538,17.906458,0.5
59,5528107042970831360,126.37796665083,-39.62766648465,-2.986,4.622,0.1865,14.129143,0.9
60,5528101030016642560,126.33530807708,-39.6552631107,-3.037,3.736,0.03,16.439459,0.2
61,5528101064376372608,126.36770926969,-39.66483351643,-3.263,4.68,-0.0051,16.08907,1.0
62,5528108176835310720,126.3380390334,-39.55373006473,-3.617,4.615,0.1397,17.666656,0.6
63,5528108176835310592,126.33744656405,-39.5536940564,-3.637,3.811,0.2902,17.57002,0.1
64,5528101133095851264,126.3447217978,-39.64434256621,-3.067,4.37,0.2073,17.206467,0.7
65,5528101030016637312,126.34723631421,-39.65170828603,-2.887,4.587,0.1791,17.174543,0.8
66,5528101030016643968,126.33705699407,-39.66165257211,-2.936,4.492,0.0274,17.456593,1.0
67,5528101064376369152,126.36232950612,-39.6482688013,-2.827,4.448,0.1335,16.776436,0.9
68,5528101133095846656,126.35687373107,-39.64394270083,-2.881,4.546,0.0681,16.225351,1.0
69,5528101128792567168,126.34902365942,-39.64877447662,-3.053,4.528,-0.0095,17.038868,0.9
70,5528102434462779904,126.30633904214,-39.58717259237,-2.815,4.59,0.2145,17.896755,0.7
71,5528100995656905856,126.33941396798,-39.66676890739,-3.108,4.546,-0.0166,16.643026,1.0
72,5528102193944571904,126.32843685438,-39.60272862299,-3.035,4.218,-0.0744,17.603613,0.4
