,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5259867162604238336,151.16361516627,-55.87726534851,-5.144,3.905,0.1165,17.467762,0.9
1,5259861252729232512,151.14470638367,-55.90322139712,-5.322,3.452,0.3499,17.594486,0.3
2,5259879802682409344,151.11785823056,-55.78865977788,-5.933,3.577,0.2374,17.756426,0.2
3,5259867295737516032,151.17530709674,-55.85076098968,-5.866,4.089,0.3523,17.908815,0.2
4,5259866612848436480,151.28768363618,-55.87301439169,-5.598,2.769,0.36,14.173649,0.1
5,5259867471841897216,151.25092057332,-55.8409030219,-5.951,3.131,0.1373,16.876198,0.2
6,5259867708054445568,151.19180453334,-55.81546870431,-5.119,3.275,0.4018,17.996075,0.1
7,5259878978048563200,151.12805236777,-55.85086968231,-4.631,3.432,0.1448,17.92176,0.7
8,5259866028732875648,151.27457164609,-55.9148493465,-4.779,3.275,0.371,16.097155,0.2
9,5259860939185783040,151.20556363053,-55.91785808466,-5.933,3.084,0.2919,17.905123,0.3
10,5259873381716781952,151.06854983829,-55.84199389676,-5.253,3.617,0.2973,13.808074,0.5
11,5259867231323625216,151.19281586453,-55.8529596572,-5.136,3.944,0.19,16.24479,0.8
12,5259879188512570112,151.10608742731,-55.84021341161,-5.672,3.343,0.0956,17.04064,0.3
13,5259879257232046720,151.08519954131,-55.8293504312,-4.975,4.358,0.1995,16.398104,0.9
14,5259878913634662400,151.1286218678,-55.85636237488,-5.269,3.56,0.1266,17.130583,0.8
15,5259873141198605952,151.06115620938,-55.88524618566,-4.771,3.346,0.0271,17.492937,0.6
16,5259869018030129408,151.29472574279,-55.82045717136,-6.215,3.827,0.1941,16.763311,0.1
17,5259867196963880960,151.15774906083,-55.86296158335,-5.635,3.45,-0.0112,16.916098,0.7
18,5259867300043102464,151.17232874017,-55.84032880749,-6.085,3.471,0.4268,17.512398,0.1
19,5259873175558345984,151.0544545819,-55.86922121257,-5.189,3.842,0.4153,14.105571,0.4
20,5259879772628137344,151.14801875096,-55.78565183311,-5.077,2.86,0.4223,17.866827,0.1
21,5259878978049138688,151.11717480825,-55.85470542291,-4.809,3.84,0.1037,17.91528,0.9
22,5259861214063734400,151.16482895516,-55.89297328463,-5.439,3.932,0.1633,16.693296,1.0
23,5259867678000232448,151.22708091471,-55.82431723845,-4.666,3.74,0.3276,17.555061,0.6
24,5259880184944993024,151.09342685748,-55.78037012841,-6.091,3.375,0.1701,15.568296,0.3
25,5259879497750230272,151.17514840524,-55.80088808857,-5.151,3.446,0.2536,17.249683,0.3
26,5259867196956508672,151.16070868602,-55.85734860771,-4.814,3.836,0.3834,17.583956,0.8
27,5259879184207026944,151.09337076927,-55.83510723172,-4.561,4.168,0.1009,17.931227,0.8
28,5259867673694697472,151.22131915954,-55.81998963207,-4.584,2.946,0.2876,17.690857,0.1
29,5259878947994403200,151.15280312315,-55.85732936782,-5.235,3.646,0.124,17.156199,0.8
30,5259867196963881088,151.15531388642,-55.86090103345,-5.319,3.609,0.2031,17.534105,0.6
31,5259879119793100032,151.13017200554,-55.82245132535,-5.546,2.977,0.1206,17.100676,0.1
32,5259867196963882368,151.16078233394,-55.85879295463,-5.291,3.502,0.0462,16.598593,0.8
33,5259867196963883136,151.16912220796,-55.861503106,-5.424,3.625,0.267,17.523355,0.5
34,5259867196963883008,151.16091493848,-55.85762291911,-4.809,4.05,0.0048,17.156937,0.9
35,5259867196963883392,151.1643887021,-55.85734064789,-5.26,3.807,0.1043,17.65001,0.8
36,5259867300043099904,151.17496627593,-55.85571221391,-5.068,3.626,0.2269,17.061493,0.7
37,5259879119793100928,151.14761484176,-55.82759541832,-5.524,3.703,0.0779,17.115955,0.4
38,5259867815439192192,151.23600529672,-55.79960857604,-4.545,3.714,0.2329,15.457438,0.8
39,5259867231323720576,151.19234791272,-55.86114080002,-5.866,2.975,0.3375,17.394043,0.2
40,5259873308692242560,151.07713218975,-55.85245535961,-5.499,3.54,0.0659,17.467989,0.8
