,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5338141150569074048,165.2600983386,-60.25231512042,-5.723,2.127,0.1412,16.976036,0.1
1,5338141292328960640,165.2637305686,-60.231595925,-5.343,2.465,0.0916,14.608688,1.0
2,5338141257991668352,165.2677461864,-60.24041833096,-5.535,2.494,0.236,16.454453,0.9
3,5338141223631948672,165.3015680226,-60.2439227041,-5.726,2.107,0.0262,17.957531,0.1
4,5338141498509854080,165.25745195841,-60.22911946701,-5.289,2.549,0.0071,17.496824,0.5
5,5338141498509868160,165.24708778432,-60.22013162216,-5.558,2.319,0.1439,16.2285,0.9
6,5338141498509865344,165.24489913204,-60.22040898026,-5.291,2.407,0.0944,15.162939,1.0
7,5338141459806718208,165.25478429016,-60.23335547099,-5.299,2.354,0.1208,15.598142,0.9
8,5338141292351445504,165.2909665972,-60.23227671478,-5.378,2.282,0.0545,16.301512,0.8
9,5338141498509874304,165.25238190245,-60.2193870611,-5.364,2.3,0.0805,16.790257,0.8
10,5338141494160819328,165.26154921542,-60.22751198478,-5.261,2.406,0.0876,16.94988,1.0
11,5338141498509873408,165.24445853586,-60.21701516176,-5.568,2.443,-0.0363,16.774275,0.5
12,5338141223631964416,165.30890370274,-60.24099836155,-5.615,2.166,0.0279,17.829927,0.3
13,5338141464127637632,165.25018614816,-60.23201129318,-5.485,2.433,0.0833,14.664782,1.0
14,5338141670308576768,165.28595506527,-60.22717419433,-4.936,2.588,0.029,17.126728,0.7
15,5338141945186494976,165.23941529423,-60.20540425934,-5.262,2.325,-0.0785,17.620642,0.4
16,5338141464150106496,165.25349290134,-60.23194615955,-5.397,2.501,0.1663,16.937445,1.0
17,5338141292329020800,165.267781879,-60.23047202668,-5.282,2.573,0.0929,17.686567,0.7
18,5338141425443060352,165.21995907409,-60.23574325374,-5.463,2.111,-0.0336,17.8439,0.1
19,5338141532869587456,165.21934212936,-60.21778778483,-5.282,1.975,0.1474,16.621616,0.1
20,5338141498510044288,165.25669434429,-60.23021169933,-5.442,2.359,0.0439,11.97506,1.0
21,5338141464150305664,165.2427788512,-60.22804565693,-5.446,2.419,0.1197,17.269238,0.7
22,5338141184923082240,165.28662418118,-60.2552439436,-5.447,2.45,0.1115,15.843925,1.0
23,5338141464150303232,165.23523058545,-60.23577393094,-5.406,3.042,-0.0006,17.677202,0.3
24,5338141189272193792,165.29047774894,-60.24717040273,-5.572,2.204,-0.0492,17.502724,0.4
25,5338141189272188416,165.28968325394,-60.25017703133,-5.164,2.288,0.1831,17.132572,0.7
26,5338141601566763264,165.30215399056,-60.23216271412,-5.323,1.819,0.149,17.651987,0.2
27,5338141189272184448,165.30171754437,-60.25649224738,-5.449,2.242,0.0471,17.621508,0.6
28,5338141292329033856,165.27647311115,-60.23272804221,-5.596,2.502,0.052,16.712502,0.8
29,5338141257991672320,165.26714140691,-60.23851205188,-5.403,2.357,0.1287,12.828724,0.8
30,5338141464150101120,165.25285865778,-60.23384412524,-5.532,2.317,0.0244,16.711815,0.6
31,5338141257991670784,165.26948685381,-60.23974499265,-5.52,2.843,0.062,15.005239,0.3
32,5338141464150101760,165.2557617442,-60.23434875894,-5.235,2.313,0.1675,15.213882,0.9
33,5338141498509852160,165.24152394268,-60.22419574646,-5.593,2.253,0.1235,17.629566,0.4
34,5338141498509850624,165.26193114829,-60.23230804497,-5.458,2.339,0.0727,10.424793,0.8
35,5338141464150085120,165.2464773462,-60.23937297974,-5.269,2.364,0.221,17.513006,1.0
36,5338141464150110464,165.25365294351,-60.23027632468,-5.548,2.409,0.0566,14.411126,1.0
37,5338141292351416704,165.26970368611,-60.23532394557,-5.318,2.311,0.1759,15.721982,0.8
38,5338141464150107008,165.25866430332,-60.23360888819,-5.518,2.446,0.1266,13.863332,1.0
39,5338141154912401920,165.25558987993,-60.25891177311,-5.371,2.454,0.0515,15.249008,1.0
40,5338141498510082688,165.25079006609,-60.22825604764,-5.475,2.342,0.0631,16.72009,0.8
41,5338141257969120128,165.26584554997,-60.24816901557,-5.59,2.337,0.1057,17.88276,0.4
42,5338141395430573440,165.20564036938,-60.23979647984,-5.493,2.341,0.0863,13.79513,0.9
43,5338141361070834560,165.22625607309,-60.24728300627,-5.647,2.271,-0.0078,16.993332,0.3
44,5338141086192940416,165.28787120423,-60.26377195122,-5.476,2.326,0.0961,11.176345,0.8
45,5338141601589105664,165.31803303676,-60.23597872853,-5.458,2.583,0.1796,15.325885,0.8
46,5338141876467019008,165.26265449888,-60.21335707222,-5.298,2.354,0.1531,15.949424,0.8
47,5338141288008032000,165.28285094208,-60.23857739083,-5.483,2.436,0.0353,16.845337,0.8
48,5338141257991657856,165.27301320539,-60.24747363555,-5.127,2.325,0.0545,17.976133,0.8
49,5338141253648294144,165.28568736361,-60.25617999331,-5.208,2.24,0.1015,16.674171,0.8
50,5338141292351451904,165.26779888664,-60.22183529913,-5.079,2.682,0.2657,14.435305,0.7
51,5338141498509875840,165.24906383414,-60.21740301619,-5.36,2.361,0.1382,16.346436,1.0
52,5338141292329001984,165.27021159453,-60.23345438198,-5.669,2.965,0.2607,17.453474,0.1
