,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5337277729031892480,166.43275018769,-61.23061138499,-5.889,2.323,0.0924,17.250887,0.4
1,5337277763391659392,166.43316302591,-61.22406594505,-5.924,2.217,0.0838,14.517456,0.5
2,5337277587255852544,166.50397357478,-61.22863410758,-6.024,2.323,0.0934,16.975637,0.3
3,5337277866470923392,166.44481279114,-61.21432641966,-6.064,2.179,0.0856,16.265032,0.3
4,5337277454153977344,166.5158418655,-61.26078278753,-5.776,2.604,0.1385,17.84057,0.1
5,5337277076197381888,166.48624520634,-61.27107348126,-5.907,2.41,0.0565,17.214016,0.1
6,5337277351074691072,166.43954234934,-61.25740061852,-6.219,2.249,0.0769,17.234081,0.2
7,5337279378299517056,166.45831482856,-61.18743175909,-5.845,2.201,0.1289,15.055248,0.5
8,5337277759062021376,166.43999536349,-61.22654182542,-6.09,2.054,0.0222,17.939766,0.1
9,5337277763391663488,166.45396335434,-61.22814420327,-5.867,2.133,0.1342,14.443005,0.4
10,5337277763391663104,166.4528094542,-61.22958728989,-6.097,2.129,0.0195,16.829668,0.4
11,5337277557233308800,166.55160942153,-61.23954330603,-6.035,2.27,-0.0023,17.391302,0.2
12,5337277862170139520,166.44457091795,-61.2135630141,-5.579,2.556,-0.0149,17.816717,0.6
13,5337277763391643008,166.44823889184,-61.23299664292,-5.957,2.339,0.1112,15.564268,0.3
14,5337277625952777600,166.51387775211,-61.22924763482,-5.678,2.004,0.0603,17.841833,0.3
15,5337277866470937600,166.45744437441,-61.21414375468,-5.516,2.372,0.0527,17.577236,0.4
16,5337279034702123776,166.54406120733,-61.21755753324,-5.791,2.232,0.11,14.034597,0.5
17,5337277351055205632,166.42947530937,-61.24856956083,-5.574,2.015,0.091,16.535055,0.1
18,5337277763391648640,166.45018764426,-61.23126184604,-5.806,2.215,0.0775,15.059916,0.6
19,5337277763391647744,166.45492754176,-61.2339784859,-5.709,2.013,0.0634,17.113995,0.1
20,5337277763391649920,166.44211862448,-61.22933558908,-5.829,2.198,0.1444,15.52175,0.4
21,5337277900830698240,166.46046997139,-61.20821139147,-6.038,2.284,-0.0292,16.2979,0.1
22,5337277763391646336,166.44344693881,-61.23015772626,-5.912,2.099,0.107,14.632625,0.6
23,5337277625952796160,166.51825225513,-61.22579316696,-5.832,1.775,0.0147,17.48855,0.2
24,5337277900830702848,166.44654319178,-61.20239340046,-5.873,2.198,0.1043,16.219696,0.5
25,5337277282355216384,166.46612242974,-61.26565419196,-5.513,2.252,0.0364,16.443527,0.2
26,5337277763391663232,166.45184779085,-61.22816491651,-5.801,2.115,0.0615,15.993261,0.5
27,5337277900830701184,166.46888314391,-61.21010476563,-6.08,2.548,0.0763,16.827545,0.1
28,5337277763391661824,166.44655063234,-61.22771748932,-5.939,2.182,-0.0244,12.349334,0.5
29,5337277763391666560,166.45652051673,-61.23006376852,-5.626,2.278,0.1423,16.793535,0.3
30,5337277763372243840,166.44290366371,-61.23052766885,-5.923,2.261,0.0561,15.774246,0.6
31,5337277660312407680,166.48316036751,-61.25006981351,-6.276,2.22,0.1355,16.875195,0.2
32,5337277351074717696,166.42763712751,-61.2457373793,-5.915,2.037,0.0391,17.922794,0.6
33,5337277419794269056,166.52506475121,-61.25567655028,-5.957,2.157,0.0136,16.20733,0.5
34,5337277282355223040,166.4491123458,-61.25805974924,-5.747,1.992,0.0503,17.652987,0.1
35,5337277763391691776,166.43865365954,-61.21690743184,-5.886,2.278,0.0611,15.561304,0.7
36,5337277866470930816,166.43927879233,-61.20990503739,-6.182,2.139,0.1329,16.233511,0.1
37,5337279137781366784,166.53155957095,-61.20592251128,-5.809,2.077,0.1145,16.168623,0.2
38,5337277729012449152,166.4447958708,-61.23846845405,-5.762,2.031,-0.0187,17.616976,0.3
39,5337277247995457664,166.47508053371,-61.27383005665,-5.656,2.143,0.0997,16.429811,0.1
40,5337277763391677440,166.46039190921,-61.22806280247,-5.584,2.215,0.1121,17.165867,0.3
41,5337277351074714496,166.44052516094,-61.25018838213,-5.787,2.134,0.0961,16.322153,0.9
42,5337277552920704512,166.53436934644,-61.23188866404,-6.168,1.946,-0.03,17.97842,0.1
43,5337277763391681024,166.45632739862,-61.22528853849,-5.836,2.273,-0.0077,17.296516,0.1
44,5337279103402428416,166.52444800594,-61.2111479037,-5.99,1.854,0.0888,17.870827,0.1
45,5337277660312380672,166.47390919734,-61.25591792159,-6.07,2.262,0.1372,16.41287,0.3
46,5337277763391668992,166.44413983539,-61.22500233674,-6.056,2.356,0.0403,15.345816,0.1
47,5337277763372273536,166.437365346,-61.2255142825,-5.758,2.379,-0.0276,17.566483,0.4
48,5337277866470913408,166.44184838363,-61.215949647,-5.87,2.312,0.1306,17.074333,0.5
49,5337277763391692032,166.44199863068,-61.21783140408,-6.184,2.185,0.1321,16.369732,0.1
50,5337277827790510720,166.47549436037,-61.20529798404,-5.964,2.348,0.0491,17.177427,0.3
51,5337279103421587712,166.50712518729,-61.20994935546,-5.997,2.189,0.0719,15.893361,0.5
52,5337277763391688832,166.43883609468,-61.21755967171,-5.946,2.29,0.11,15.903049,0.5
53,5337277454154508160,166.50099485336,-61.26220597705,-6.258,2.02,0.1088,16.393902,0.1
54,5337280134213400960,166.37370506871,-61.26395426691,-6.049,2.363,0.0586,16.97543,0.1
55,5337280890127910656,166.40050682127,-61.19611450774,-5.608,2.046,0.0817,17.16786,0.1
56,5337280267331722112,166.39109390111,-61.25006482292,-6.091,2.534,0.004,17.30174,0.1
57,5337280821408452736,166.4275459138,-61.19912587992,-6.296,2.492,0.1105,16.68797,0.1
58,5337280374731699712,166.37311826011,-61.22648876487,-5.572,2.006,0.1094,14.41541,0.1
59,5337280168573188224,166.39580510538,-61.25763958114,-6.074,2.164,0.0019,17.148531,0.2
60,5337280855768226432,166.43828735219,-61.19228256688,-5.488,2.122,0.022,17.907598,0.2
61,5337280340371892736,166.36732021354,-61.24422578981,-5.537,2.168,0.0791,16.81294,0.2
62,5337280817074020352,166.43050127898,-61.19961888649,-5.812,2.557,0.1046,17.970367,0.3
63,5337280370430577024,166.37322980701,-61.22483205867,-6.047,1.999,0.0819,17.032951,0.2
64,5337280718329179648,166.42282444663,-61.21501828004,-5.582,2.035,0.1272,17.255604,0.3
