,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,156453529606010624,76.7610639686,30.72900063481,0.158,-0.476,0.1052,17.61421,0.4
1,156453014209863680,76.69744853498,30.69157454929,1.163,-0.921,0.3952,17.269602,0.6
2,156450304087516928,76.96512823656,30.70441768589,0.804,-0.655,0.1718,15.708132,0.8
3,156455075794312448,76.76180800227,30.76625812688,0.972,-0.734,0.1935,15.282557,1.0
4,156452331312107136,76.75942004059,30.66447541274,0.837,-0.799,0.1472,13.167286,0.8
5,156454805213245696,76.83006244641,30.78178207085,0.836,-0.755,0.1739,14.015059,1.0
6,156455350672237440,76.73454565264,30.77556022819,0.552,-0.412,0.0202,17.289003,0.4
7,156455007074792320,76.76438805705,30.74516310458,0.818,-0.737,0.1028,17.118277,0.9
8,156450372806997888,76.93871683436,30.69261622353,0.454,-0.38,0.0873,17.593443,0.3
9,156452601892997760,76.74399820899,30.68848270634,1.49,-0.493,0.198,17.44228,0.2
10,156453117289073408,76.68130513962,30.68865022279,0.55,-0.825,0.1991,17.446808,0.5
11,156454942652193152,76.85419080168,30.79953403069,0.77,-0.742,0.1607,15.213005,1.0
12,156454908292452352,76.87820493554,30.79900982755,1.053,-0.427,0.2828,17.584814,0.3
13,156455316312494336,76.75975881014,30.77261285771,0.629,-0.655,0.1932,16.8898,0.6
14,156451571100958080,76.9121374683,30.74488237401,0.756,-0.296,0.1497,17.28609,0.3
15,156455217530112128,76.78705882011,30.77388807267,0.766,-0.67,0.1308,14.996049,1.0
16,156454319880024832,76.8099647924,30.74459740477,1.058,-0.621,0.2886,17.857735,0.4
17,156451163080983552,76.90403445024,30.70223691057,1.008,-0.114,0.2362,14.287656,0.2
18,156450922562821504,76.84862527512,30.69591859019,0.693,-0.516,0.1955,16.544836,0.6
19,156451399302253440,76.92685881756,30.7376850364,1.0,-0.364,0.3387,17.078894,0.4
20,156453770124198144,76.72672093478,30.73927738007,0.55,-0.595,0.3387,16.540508,0.4
21,156453155945835264,76.65341587618,30.69590223044,0.309,-0.791,0.0176,16.377718,0.1
22,156451880338418688,76.77105719573,30.64775280271,0.963,0.052,0.1769,16.439419,0.1
23,156454835276200192,76.84507306097,30.79254608211,1.097,0.104,0.2107,15.612903,0.2
24,156454839573549312,76.83174124502,30.78666378814,1.285,-0.986,0.2419,17.203403,0.5
25,156454285520305664,76.79202363441,30.75197966463,0.43,-1.046,0.1967,16.787674,0.1
26,156453293384784000,76.67139271978,30.71616994406,0.958,-0.451,0.389,16.354225,0.4
27,156452777988695936,76.77582441572,30.72247640602,0.621,-0.613,0.0779,15.167093,0.8
28,156455247593037440,76.79678122507,30.78084158728,0.839,-0.805,0.1632,16.814787,0.7
29,156454903995689088,76.86975145309,30.79802317629,0.665,-0.945,0.0888,17.605808,0.3
30,156453460886514048,76.72759040785,30.71860609735,0.032,-0.154,0.0581,17.611288,0.1
31,156452361374803712,76.77118942276,30.67629447854,0.992,-0.608,0.1746,17.722483,0.4
32,156452189576104320,76.71621192914,30.67194476002,1.017,-0.402,-0.029,17.457773,0.1
33,156452292655320192,76.7926907575,30.67149466653,0.864,-0.811,0.2538,17.02897,0.6
34,156453740061375360,76.6986556198,30.74453369035,1.46,-0.792,0.2467,17.238441,0.2
35,156449440797032704,76.79612731727,30.66996877201,0.868,0.022,0.26,16.29572,0.1
36,156455247593050496,76.79907558159,30.787963407,0.744,-0.651,0.2712,16.61385,1.0
37,156451605460741248,76.91413645836,30.76634200576,0.637,-0.817,0.2373,17.980017,0.4
38,156453735764076800,76.71289287033,30.74177620412,0.796,-0.679,0.1808,12.781164,1.0
