,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2094000829746360960,283.52340668507,37.35168208702,1.156,-2.88,2.8018,16.008793,1.0
1,2094009758979419008,283.64908621795,37.54720621692,1.564,-2.495,2.7654,17.844105,0.1
2,2094012443338367104,283.41913648167,37.55148715757,1.159,-2.721,2.7525,13.63091,1.0
3,2094002066697334272,283.42980699771,37.40018247982,1.269,-3.2,2.6797,17.74646,0.6
4,2093997492551220096,283.03220592724,37.48163269993,1.323,-2.469,2.9037,17.904242,0.1
5,2094006219923685760,283.34310143704,37.4731241785,1.027,-2.896,2.8389,8.88042,1.0
6,2094016734004648704,283.15231814332,37.43897232589,1.578,-2.639,2.6536,17.812775,0.1
7,2093518041061869056,283.26213309877,36.44292367426,1.234,-3.024,2.8041,15.327715,1.0
8,2093538691265234688,282.98601236711,36.66577179409,1.19,-2.883,2.7393,17.541924,0.7
9,2093519484171443072,283.13814423979,36.42921380668,1.002,-3.034,2.816,14.558441,1.0
10,2093521232219158016,283.18061426219,36.49848932886,1.047,-3.162,2.6697,17.603773,0.6
11,2093534877334312064,283.13286893548,36.62107545371,1.387,-2.389,2.7616,17.614779,0.4
12,2093715128521909888,283.72956423982,36.70527102899,1.548,-3.33,2.8335,14.801751,0.8
13,2093708840689704960,283.66161132591,36.50949618759,1.492,-3.211,2.8084,12.153887,0.9
14,2093710146359819776,283.79477837801,36.5667101992,1.191,-3.167,2.8066,16.400198,0.9
15,2093739008540143104,283.85501777246,36.77909276248,0.873,-3.005,2.678,9.52852,0.7
16,2093731071440655872,284.07163638921,36.79450485703,1.391,-3.166,2.6531,16.430103,0.6
17,2093716124954342400,283.73297675704,36.75693317388,1.133,-2.885,2.7339,16.824677,1.0
18,2093743681464679040,284.09202337335,36.89118780237,0.954,-3.274,2.7526,14.376081,0.7
19,2093709596603975936,283.69530831219,36.55698206458,1.293,-2.295,2.7595,17.468466,0.2
20,2093737634150636800,283.92299314209,36.80123746946,1.714,-2.88,2.8728,16.282478,0.5
21,2093741826038723584,283.84443482699,36.88248422773,1.512,-2.888,2.7635,12.448521,0.9
22,2093741860398462848,283.85876336479,36.87381458034,1.294,-2.755,2.7592,16.762932,0.9
23,2093745292073462400,284.12897736756,36.91277105804,0.954,-2.736,2.9002,17.587898,0.9
24,2093712585901211776,283.66481689119,36.57769664335,0.765,-3.345,2.8025,17.600119,0.6
25,2093734541774132096,283.88555538164,36.68990307606,1.423,-3.042,2.8495,16.43868,0.9
26,2093738935521775616,283.79603627869,36.79072598949,1.741,-2.801,2.785,17.673725,0.9
27,2093714643186145152,283.70993911564,36.66202830709,1.709,-3.185,2.8104,17.885084,0.8
28,2093744849695789824,284.04536174073,36.94988203821,1.078,-2.516,2.7213,17.688107,0.8
29,2093708462732601856,283.73403034171,36.49719594133,0.827,-3.107,2.7984,10.497955,0.8
30,2093715059799159936,283.73192982405,36.69759095872,0.614,-3.253,2.7129,10.938583,0.6
31,2096988924392028416,282.6268875708,37.2097948423,1.365,-3.203,2.7456,17.957222,0.7
32,2096997647466715776,282.80639097204,37.39823075882,1.493,-3.222,2.893,17.479023,0.3
33,2093324733175588992,283.42422233785,36.27607421177,0.836,-3.739,2.8454,16.204788,0.2
34,2093604692021110912,282.74720141215,36.93917283016,1.038,-3.11,2.8681,17.898392,0.6
35,2093592395536322304,282.79147554393,36.8874551472,0.626,-2.884,2.6562,17.174892,0.5
36,2093588955261422592,282.73414942518,36.72450070527,0.747,-2.631,2.8998,17.980423,0.6
37,2093902938851438976,283.5565450305,36.73343664943,1.13,-3.134,2.7456,7.575272,0.9
38,2093980076464688384,283.16322526218,37.31037763695,1.278,-2.703,2.7894,17.026297,0.8
39,2093986055059040128,282.7205256037,37.18369210451,1.042,-3.323,2.7364,16.864826,0.6
40,2093923073658232832,283.43658144422,37.04958080954,1.038,-2.844,2.86,16.525206,1.0
41,2093927574784698368,283.7269266376,36.81304503794,0.839,-2.943,2.7694,13.865624,1.0
42,2093925066522949888,283.25110903459,37.01718523056,1.072,-3.044,2.7945,13.10866,1.0
43,2093908745647333888,283.59069234865,36.90934031603,0.775,-3.099,2.8099,14.476638,1.0
44,2093922008506348288,283.48969427085,37.00812793807,1.232,-3.59,2.8111,17.252182,0.5
45,2093908363391849856,283.56841532857,36.87180270715,1.204,-2.757,2.7143,17.422283,0.8
46,2093959976017493376,283.61354079138,37.36799658009,1.199,-2.962,2.7453,16.50129,1.0
47,2093935511883630208,283.64447847109,37.06540373927,1.035,-2.658,2.8665,16.90954,0.7
48,2093927884021607680,283.67463406411,36.83515289592,1.124,-3.427,2.6437,17.91326,0.7
49,2093905172234536832,283.65336197932,36.83944401498,0.901,-3.249,2.792,12.913232,0.8
50,2093927364324608512,283.33628927225,37.13985030567,1.209,-3.378,2.7737,17.745346,0.6
51,2093905236655648896,283.63969495005,36.85863803111,0.828,-2.738,2.7558,17.442043,0.9
52,2093963854366210560,282.97195600644,36.85898221351,0.7,-2.952,2.7352,17.835615,0.9
53,2093919294086889216,283.40673869743,36.84652311755,1.567,-3.447,2.6743,15.042869,0.7
54,2093933622097983232,283.63245248464,37.00074521967,1.283,-2.622,2.8894,17.440184,0.6
55,2093956471324217728,283.762464942,37.31113427293,1.162,-3.128,2.797,14.469151,1.0
56,2093933656457718016,283.61072141606,37.01416179347,0.687,-2.972,2.8264,10.819654,1.0
57,2093925341400900736,283.36451076053,36.99420671915,1.276,-2.961,2.8036,16.087076,0.9
58,2093919706403779072,283.40619056081,36.89925877442,1.037,-2.82,2.9407,15.438089,0.8
59,2093929224051468672,283.71710805742,36.91624101239,1.463,-2.807,2.7867,13.062288,0.8
60,2093907504397313024,283.43656967268,36.83980791335,0.957,-2.955,2.7485,12.993259,1.0
61,2093950144832625920,283.48265694592,37.14728270583,1.308,-2.96,2.7551,13.297149,1.0
62,2093908986165449472,283.51078026356,36.8841242838,0.945,-2.947,2.7579,9.75916,1.0
63,2093904652539972608,283.598805979,36.79366087137,1.383,-3.164,2.7151,17.582542,0.9
64,2093931526154034816,283.82212899752,37.00719298133,1.569,-2.659,2.6198,17.454803,0.2
65,2093959044005474944,283.70338326556,37.35059164424,2.057,-2.997,2.793,17.943527,0.6
66,2093918332014157312,283.20271080899,36.91759980747,1.168,-3.328,2.6555,17.097748,0.6
67,2093923932651617280,283.33882992197,36.99884577716,1.072,-3.06,2.7886,13.24613,1.0
68,2093949015260867968,283.62957526164,37.19109569063,1.028,-3.204,2.799,13.318997,1.0
69,2093907062014659200,283.40304550402,36.81149656954,0.906,-2.548,2.898,17.509104,0.1
70,2093980896796780160,282.87876925452,37.04966584871,1.576,-2.717,2.7283,17.601664,0.5
71,2093921012073854336,283.43907478392,36.90444588181,1.189,-3.408,2.8449,15.219536,0.8
72,2093907749214839680,283.54145605145,36.80349273286,1.464,-2.936,2.8655,16.940544,0.8
73,2093904450679955584,283.57692657788,36.76894228097,1.678,-3.156,2.6896,16.401396,0.9
74,2093906473606111232,283.46798196329,36.80107591257,0.99,-2.867,2.7982,14.75914,1.0
75,2093907817934312448,283.52188649333,36.81480952971,1.743,-3.411,2.9128,15.998029,0.6
76,2093907336897963648,283.47212526824,36.8344322603,1.308,-3.641,2.6815,17.385895,0.8
77,2093982722164443904,282.92390400516,37.11985873126,1.297,-2.833,2.6128,17.35238,0.7
78,2093950969464407680,283.37165286404,37.16547198839,0.682,-2.79,2.7813,12.478567,0.9
79,2093940867703366656,283.81325847923,37.11391328355,1.278,-3.122,2.718,17.604258,0.9
80,2093955440532398848,283.66563020161,37.27703213647,1.125,-2.943,2.6612,17.716888,0.8
81,2093948671663463040,283.59616896024,37.1853529114,1.084,-3.049,2.7531,13.159977,1.0
82,2093912009822215808,283.18494121489,36.76143731002,0.759,-3.715,2.7931,11.277372,0.2
83,2093908264610948992,283.53462352564,36.87497035391,1.229,-2.761,2.787,13.763759,1.0
84,2093927643503450240,283.70562656941,36.82591407673,0.58,-2.51,2.7207,17.301373,0.4
85,2093932041545255680,283.62052117042,36.92247013309,0.762,-3.037,2.9095,12.365149,1.0
86,2093952794832119168,283.57855572108,37.29736370397,1.545,-2.684,2.7055,9.120104,0.2
87,2093923069356858880,283.44093626139,37.04697504976,1.081,-2.766,2.7896,11.594575,1.0
88,2093919706403780224,283.40471442134,36.9046450185,1.209,-3.239,2.7783,11.540322,1.0
89,2093927574783982592,283.72956281158,36.82090679965,1.539,-3.061,2.7295,17.785309,0.8
90,2093936920633037440,283.93316467983,37.04972829002,1.248,-2.812,2.8324,14.889598,1.0
91,2093932041549971072,283.62103989535,36.92204324324,1.131,-2.655,2.7447,12.438707,0.9
92,2093928330698294016,283.78138234831,36.90049748463,1.113,-2.833,2.8309,15.773574,1.0
93,2093927265546292224,283.33279983168,37.10507751575,1.086,-2.955,2.7612,16.275705,1.0
94,2093908436409671168,283.59966502582,36.87097338526,1.298,-3.169,2.6957,17.31689,1.0
95,2093907062020010752,283.40181812885,36.81151904827,1.05,-2.649,2.7179,9.705215,0.8
96,2093947022395975680,283.55641586785,37.12877174899,1.216,-2.773,2.7396,17.003355,0.8
97,2093925959876237824,283.39200884011,37.05911559827,1.419,-2.942,2.832,15.389194,0.9
98,2093905034795567232,283.63281941336,36.82757297337,0.968,-3.136,2.6284,17.759104,0.5
99,2093902423455328512,283.52593024418,36.69287907787,1.062,-3.001,2.7766,16.686893,1.0
100,2093894722572651392,283.48484080853,36.55721005368,1.585,-3.031,2.6556,17.779842,0.4
101,2093921974146600960,283.48044037135,37.00248537291,1.375,-2.223,2.7313,11.549109,0.1
102,2093923451615203328,283.25941351821,36.92882813317,1.055,-3.111,2.647,16.776527,0.7
103,2093910051317067520,283.17485450632,36.64633429177,1.356,-3.393,2.7524,16.854147,0.8
104,2093927639204020608,283.70537202628,36.82851876503,0.908,-2.934,2.7555,10.663695,1.0
105,2093929602008603904,283.70422230972,36.95021290577,0.953,-3.258,2.7798,13.17942,0.8
106,2093955200013853184,283.70649273165,37.26656307685,1.127,-2.803,2.8248,16.061527,0.9
107,2093894619493432320,283.43116893927,36.53581953898,1.264,-2.835,2.8305,17.816095,0.7
108,2093952760472371200,283.57299803594,37.28419888969,1.219,-2.693,2.7291,15.387317,1.0
109,2093905374093557504,283.59264903011,36.85205941472,1.139,-3.06,2.7526,8.762667,1.0
110,2093908157232365184,283.53802771188,36.85188815268,1.308,-2.75,2.7996,11.744818,0.9
111,2093922180304989568,283.43150410865,36.97170634955,1.35,-2.985,2.8072,5.538145,0.7
112,2093928227619069952,283.77627548561,36.88469648995,0.891,-2.962,2.7382,11.219224,1.0
113,2093940184808256640,283.96516210196,37.18195710355,0.691,-2.815,2.6647,17.944569,0.4
114,2093945609347180544,283.5212970041,37.05331002376,1.046,-2.703,2.7394,13.336583,0.9
115,2093940184808257536,283.96852548241,37.17958222729,1.883,-3.5,2.7016,12.614956,0.6
116,2093894589434780544,283.45285068126,36.54104403389,1.064,-3.235,2.7542,13.930171,0.8
