,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,465130222130468352,38.22838979807,60.18127771388,-3.734,0.334,1.4311,14.111117,0.9
1,465101772267208064,37.79052147714,59.99745134423,-3.51,0.405,1.4295,15.62738,0.9
2,465227288392631936,38.50956495664,60.38475339453,-3.444,0.371,1.3472,16.282383,0.8
3,465221344157981568,38.91860097948,60.39626143743,-3.549,0.531,1.423,16.350754,0.9
4,465230720065129472,38.45787126597,60.43707685721,-3.226,0.108,1.435,16.156393,0.4
5,465233644944164224,38.51153401776,60.55188507991,-2.826,0.282,1.3912,17.109726,0.4
6,465137295936328832,38.270760022,60.41670741094,-3.615,0.435,1.4308,17.43695,1.0
7,465230208970582528,38.41215998088,60.40258218681,-3.689,0.338,1.3828,16.52113,0.9
8,465229315609866880,38.65057416156,60.47269024237,-3.526,0.659,1.455,11.982146,1.0
9,465291747259663872,37.36402663566,60.02041436672,-3.539,0.399,1.4755,16.599146,0.9
10,465335104950351488,37.48905336784,60.48636600921,-3.677,0.358,1.565,17.471504,0.9
11,465329233734612608,37.93577252326,60.51927746087,-3.102,0.657,1.5248,16.532228,0.9
12,465345211012952064,37.43834589848,60.58215210715,-3.528,0.567,1.4292,14.915069,1.0
13,465340705587269248,37.74797631698,60.55345374679,-3.612,0.701,1.432,12.303876,1.0
14,465336002603124864,37.37412671203,60.42051104937,-3.41,0.457,1.4093,13.743395,1.0
15,465337132174900224,37.31733572461,60.47814358255,-3.195,0.843,1.3739,17.852041,0.6
16,465334731288076800,37.47440648947,60.47113215249,-3.782,0.369,1.3949,15.089782,0.9
17,465321330994862592,37.61353184752,60.3380807896,-4.041,-0.167,1.4369,12.943044,0.9
18,465345726408999424,37.40723373468,60.65727965628,-3.408,0.818,1.4636,8.354542,1.0
19,465343321227313536,37.70828787413,60.62330456101,-3.438,0.77,1.4394,17.007908,0.9
20,465334933151643392,37.59145411564,60.48099477343,-3.452,0.263,1.4729,16.945166,0.9
21,465345382811624064,37.48576991415,60.62653620218,-3.496,0.748,1.5118,17.34454,0.9
22,465343080709152896,37.71314887364,60.60184799677,-3.515,0.541,1.4466,17.327686,0.8
23,465320712519555072,37.80835904322,60.3610753509,-3.637,0.624,1.4495,13.150625,1.0
24,465344695616861440,37.58222194349,60.60126008274,-3.195,0.156,1.4444,14.447608,0.6
25,465329847909947648,37.89791767416,60.51222215132,-3.36,0.544,1.4751,13.576337,1.0
26,465344382079274368,37.48768571255,60.55837224385,-3.257,0.12,1.3507,11.971295,0.7
27,465339301137960832,37.40832016737,60.56138647524,-3.472,0.536,1.4098,10.332791,1.0
28,465344626897386496,37.49527150835,60.60691763464,-3.47,0.607,1.4752,14.93768,0.9
29,465309545604048000,37.09758863314,60.22329942091,-3.517,0.743,1.4942,15.85357,0.9
30,465346104366109568,37.43136511402,60.67737402796,-3.381,0.512,1.5354,8.396057,1.0
31,465334731292784128,37.47589853409,60.47113735786,-3.538,0.475,1.4642,12.487694,1.0
32,465343424306523264,37.72268516959,60.63236068946,-3.52,0.716,1.4539,14.147163,1.0
33,465327343949035648,37.85413113607,60.42564649295,-3.63,0.531,1.4458,15.629326,1.0
34,465346825920598912,37.61199273693,60.70177157077,-3.523,0.576,1.4441,15.091694,1.0
35,465343802263622272,37.80159847921,60.68240510774,-3.596,0.684,1.4513,14.739565,1.0
36,465341805099586432,37.67122728298,60.59449368807,-3.675,0.582,1.4215,15.815907,1.0
37,465343870983104384,37.7468361337,60.67058819034,-3.541,0.68,1.4184,14.461241,1.0
38,465310954353292032,36.99310519113,60.30878734283,-4.0,-0.108,1.4541,14.547467,0.9
39,465346065706446976,37.46329659393,60.66450774723,-3.693,0.469,1.4602,11.521542,1.0
40,465308343013175552,37.22676829485,60.2882833704,-3.786,0.817,1.4387,16.544634,1.0
41,465311778987004672,37.22192670825,60.32780897534,-3.264,-0.338,1.2931,17.626667,0.6
42,465333837939592832,37.66554610436,60.43063906096,-3.525,-0.13,1.4885,16.352554,0.7
43,465327034711393792,37.82830444863,60.41941766299,-3.369,0.456,1.4268,15.219005,0.9
44,465336380560233728,37.32410102982,60.46241490923,-3.316,0.913,1.4246,17.873615,0.9
45,465334593853838080,37.43518662619,60.45101659723,-3.543,0.673,1.4629,16.76961,1.0
46,465333941018811648,37.58484384575,60.4288534076,-3.52,0.604,1.3922,16.071959,1.0
47,465292949850466304,37.28326475773,60.0999617672,-3.51,0.665,1.4395,15.966403,0.9
48,465347272597377792,37.68233794744,60.72185172011,-3.584,0.391,1.4834,11.952437,0.9
49,465339507291591168,37.31720667914,60.57589777719,-3.59,0.688,1.3672,17.540648,0.8
50,465340125771694080,37.66025065891,60.49578192788,-3.483,0.589,1.4481,15.628036,1.0
51,465328610959823232,37.83461132641,60.49890745333,-3.437,0.681,1.4255,15.941925,1.0
52,465331531537208576,37.49286933061,60.3203525458,-3.666,0.337,1.4097,16.814198,1.0
53,465334937451207552,37.57763034897,60.48110966978,-3.451,0.427,1.4952,14.327621,1.0
54,465308927128790784,37.05247048897,60.16105864208,-3.771,0.006,1.3967,14.717966,0.9
55,465240963568533120,38.77389421707,60.67691601137,-3.402,0.881,1.5357,16.379791,0.8
56,465338304705552128,37.47239617298,60.54369925719,-3.021,0.615,1.4299,16.040516,1.0
57,465308682310810752,37.28392018745,60.29665067816,-3.428,0.947,1.2895,17.864391,0.6
58,465339094979538560,37.29902139676,60.55139942829,-3.554,0.433,1.4345,14.994696,1.0
59,465346718543387648,37.61875368354,60.67862561278,-3.319,0.098,1.5533,17.250702,0.9
60,465384621634345856,37.13828468538,60.5338886992,-3.629,0.67,1.5204,15.60317,1.0
61,465347508815456000,37.55881774034,60.70037389582,-3.804,-0.112,1.4047,13.621236,0.9
62,465424582010031232,38.00780952718,60.6204555113,-3.522,0.644,1.4024,16.498829,1.0
63,465383762640893696,37.10569267988,60.44758527032,-3.517,0.876,1.3755,16.80381,0.8
64,465423241980374016,38.33302889145,60.70501609359,-3.663,0.757,1.4588,16.640596,0.9
65,465394689037619456,37.47721643596,60.72435807064,-3.305,0.61,1.4388,12.947153,1.0
66,465394104922068224,37.25350362998,60.74724991162,-3.501,0.354,1.422,13.670267,0.9
67,465393108489671040,37.39739659376,60.68453061154,-3.448,0.714,1.4883,14.433422,1.0
68,465392730532552064,37.37615949945,60.67792767616,-3.521,0.698,1.4788,13.515287,1.0
69,465381701055626880,36.51789949171,60.67436602315,-4.12,0.34,1.4116,14.147004,0.8
70,465393898763649152,37.24151637788,60.71784130099,-3.596,0.437,1.5907,16.712143,0.9
71,465384582973725952,37.12102302381,60.53075427729,-2.832,0.723,1.4533,16.939295,1.0
72,465392627453343360,37.38527149029,60.65603336887,-3.597,0.713,1.4126,9.809216,1.0
73,465391596661188736,36.99176957889,60.71377986614,-3.778,0.773,1.4003,17.683302,0.7
74,465420282743307136,38.13167950792,60.53471436311,-3.326,0.626,1.4419,13.273364,1.0
75,465435538464479616,38.42510258182,60.9073235085,-3.131,0.507,1.5005,16.681877,0.6
76,465392661813078784,37.40085014324,60.6641478686,-3.398,-0.435,1.4105,14.564325,0.7
77,465356515367540224,36.50147030911,60.34634436247,-3.435,0.976,1.4234,14.239091,0.7
78,465390634588527616,36.99466202275,60.67008426126,-3.583,0.586,1.3311,10.867366,1.0
79,465419286310898944,38.23956666102,60.49022219259,-3.432,0.441,1.4494,15.810007,1.0
80,465387679651025024,37.24801237748,60.65373571238,-3.473,0.628,1.4475,15.711294,1.0
81,465386477060193536,37.30190851128,60.60570879141,-3.433,0.588,1.4382,13.335314,1.0
82,465386717578362752,37.24475601302,60.61032228713,-3.866,0.687,1.4938,13.014469,1.0
83,465390565869053184,37.04193084018,60.65713637811,-3.432,0.613,1.4075,15.397195,1.0
84,465417813141415040,36.89589598496,61.07771012919,-3.561,0.498,1.5473,16.610125,0.8
85,465384342455519872,37.17031039812,60.51591572393,-3.692,0.859,1.3682,17.842415,0.6
86,465363009358050432,36.65252267066,60.42742536527,-3.596,0.291,1.3503,16.997917,1.0
87,465392279555583744,36.98460275384,60.76641769002,-3.538,0.548,1.4268,17.17855,1.0
88,465364791763867776,36.82513256489,60.52633035436,-3.431,0.459,1.3753,12.10253,1.0
89,465395170073940992,37.43712648529,60.78450529942,-3.561,0.656,1.4532,13.32914,1.0
90,465398193730919168,37.10208206129,60.81335145895,-3.483,0.383,1.4793,14.499345,0.9
91,465404550282514688,36.95059729509,60.84142762312,-3.491,0.444,1.4343,13.515265,1.0
92,465381975933530240,36.479734892,60.6890971001,-3.669,0.46,1.477,13.359016,0.9
93,465393555166247936,37.39269601964,60.74755637885,-3.832,0.183,1.5689,14.083775,0.9
94,465393074129928832,37.42865519668,60.69333229662,-3.278,0.55,1.4347,13.695395,1.0
95,465446911537893888,38.1474677454,60.91291590893,-3.693,0.371,1.5612,16.81766,1.0
96,465372801883488768,36.27564137106,60.4609728983,-3.434,0.546,1.4575,14.450556,1.0
97,465393383367564672,37.34901900068,60.72907208075,-3.092,0.426,1.3745,15.865843,0.7
98,465374244992459008,36.18059968733,60.5518086194,-3.346,0.275,1.3293,14.492991,0.6
99,465399804338409728,37.41730670666,60.91140993497,-3.344,0.521,1.426,17.914024,0.8
100,465443342427096576,37.84628093996,60.84672877908,-3.432,-0.054,1.4575,16.095087,0.5
