,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,4069907779896624512,270.87328127915,-21.92841060752,-0.28,-1.181,0.3998,17.710674,0.1
1,4069928640540904576,270.66924052845,-22.04519003785,-0.26,-1.754,0.2756,17.379566,0.1
2,4069928636238795008,270.66498342519,-22.03998048382,-1.0,-2.059,0.2362,16.592327,0.3
3,4069928223922603520,270.65073837812,-22.06143872055,-1.259,-1.333,0.2971,17.453657,0.2
4,4069907608079239552,270.84692909746,-21.92461660193,-0.405,-1.707,0.2886,15.916889,0.4
5,4069907608079244032,270.84437295436,-21.92142567583,-0.574,-1.601,0.4407,17.93394,0.3
6,4069908059069682304,270.84084779602,-21.90778717151,-0.052,-1.851,0.2994,17.834978,0.1
7,4069907986036372864,270.85260084663,-21.91875008275,0.374,-1.844,0.2563,16.297901,0.1
8,4069928670598510208,270.63929757135,-22.04560117859,-0.272,-2.0,0.3408,17.912956,0.1
9,4069908643185048064,271.03416562096,-21.97880171114,-0.729,-2.446,0.3931,16.79349,0.1
10,4069909639617516800,270.99212791372,-21.95909964855,-0.61,-1.196,0.3983,16.76534,0.1
11,4069928704958307584,270.66168004437,-22.02984459552,-0.714,-2.482,0.4812,17.128338,0.2
12,4069908638871265920,271.0298678829,-21.98139931129,-0.393,-1.384,0.228,17.277788,0.1
13,4069928773677803648,270.69584802042,-22.02532780207,-1.268,-2.104,0.3541,17.971367,0.2
14,4069928056438288128,270.62153107165,-22.09699337528,-0.289,-2.394,0.4062,16.670938,0.2
15,4069928228224040448,270.64705233803,-22.06590687286,-0.42,-1.737,0.2476,17.980785,0.3
16,4069928911116755072,270.65663328513,-22.02643288819,-0.045,-1.435,0.2419,17.938826,0.1
17,4069909570898024064,271.02497697368,-21.94874343053,-0.712,-1.963,0.3034,16.24783,0.1
18,4069928911116757888,270.64881218237,-22.02436042977,-0.892,-2.004,0.3782,16.575888,0.1
19,4069908299587598976,271.06671945203,-22.00231088239,-0.208,-1.861,0.3467,16.020035,0.1
20,4069928228236988160,270.64943835286,-22.06059771169,-0.777,-1.398,0.3659,17.658102,0.3
21,4069907921630697088,270.89231428781,-21.90904361228,-0.185,-1.71,0.3912,15.829615,0.1
22,4069928223921826816,270.64640855788,-22.06670154431,-0.699,-1.572,0.2482,17.668642,0.1
23,4069908024709922560,270.87292569083,-21.90829743529,-0.432,-1.333,0.4803,16.667452,0.1
24,4069928808037552896,270.67221990929,-22.02214956281,-0.594,-1.786,0.377,16.794077,0.3
25,4069928846712296192,270.67847226956,-22.01233947683,0.047,-1.966,0.3792,16.351713,0.2
26,4069928777992799360,270.69405448036,-22.02394668829,0.389,-1.621,0.3439,16.928068,0.2
27,4069928228236991104,270.64228232845,-22.06220266664,-1.079,-1.254,0.3055,16.250238,0.1
28,4069928189562035840,270.63107037701,-22.07774235808,0.177,-2.087,0.439,17.008533,0.2
29,4069928876756977664,270.64083647864,-22.03521300656,0.445,-1.321,0.3254,17.795643,0.1
30,4069952825494842880,270.75652423564,-21.96309827444,-0.175,-2.226,0.3267,17.672644,0.1
31,4069952692372863872,270.71451961459,-21.95778328568,-0.666,-1.328,0.3807,15.254552,0.1
32,4069952795444084608,270.7464726662,-21.96862315884,-0.47,-1.506,0.3601,17.180511,0.2
33,4069952795444059904,270.74724148431,-21.97824911183,0.077,-0.976,0.2956,17.926964,0.1
34,4069952692372859520,270.71181123378,-21.96637389199,-0.254,-1.487,0.3026,16.007305,0.5
35,4069952829811784704,270.75859098894,-21.96270349153,0.162,-2.301,0.3932,17.348925,0.2
36,4069952486214417920,270.71802044041,-21.97345675345,-0.568,-2.011,0.3275,16.95333,0.2
37,4069952550616895744,270.69494610703,-21.97711442691,-0.992,-1.52,0.4017,17.942999,0.1
38,4069952344473418496,270.69928153089,-21.98933271209,-0.317,-1.71,0.2538,17.846466,0.2
39,4069953031653353344,270.77193571838,-21.92816370677,0.189,-1.927,0.4839,17.280743,0.2
40,4069952962933831808,270.78027219142,-21.94949826067,-0.852,-1.893,0.2032,15.053062,0.2
41,4069952554925990656,270.69035877242,-21.98937051613,-0.113,-1.703,0.3197,16.837639,0.4
42,4069952928574091008,270.76714460532,-21.95035918202,-0.58,-1.831,0.2138,16.501547,0.2
43,4069952383135179392,270.72368033167,-22.00137929246,-0.779,-1.9,0.4324,15.489644,0.4
44,4069952310103834880,270.69622726536,-22.007491664,-0.202,-1.688,0.308,17.382982,0.1
45,4069952516257127424,270.67960860588,-21.98880866032,-0.043,-1.478,0.2268,16.971897,0.2
46,4069952245696230912,270.70593017176,-22.01086777102,-0.603,-1.963,0.3554,16.605827,0.3
47,4069952688070934656,270.71829372622,-21.96581408308,-0.106,-1.767,0.4538,16.244364,0.2
48,4069952245696228608,270.69932848961,-22.01945748564,-0.493,-1.356,0.3309,16.10331,0.2
49,4069952486214414976,270.72325062541,-21.97366389823,-0.059,-1.238,0.3715,16.159735,0.2
50,4069954440402607104,270.78865506123,-21.93796276739,0.018,-2.008,0.4035,17.929527,0.1
51,4069954547798709888,270.79488497073,-21.92012230725,0.138,-1.707,0.2931,15.908355,0.1
52,4069954547790756224,270.79503784208,-21.9194845729,-0.173,-1.076,0.4746,17.780254,0.1
53,4069859710606939008,270.94200427956,-22.29272291538,-0.627,-2.096,0.21,17.092468,0.1
54,4069863631925857920,270.8416544464,-22.24056293043,-0.219,-1.436,0.2943,16.057161,0.5
55,4069864009882972928,270.85415727226,-22.23808120646,-0.844,-1.57,0.3781,14.909958,0.4
56,4069864044242711808,270.86803144871,-22.22417216007,-0.493,-1.835,0.2908,17.412962,0.3
57,4069864147321927296,270.87762935039,-22.2153590018,-0.789,-1.955,0.4136,15.98392,0.3
58,4069864147321927680,270.88044343891,-22.21167342689,0.032,-2.138,0.3673,15.024142,0.3
59,4069864143026223232,270.88291966829,-22.21785719217,-0.662,-1.937,0.3475,16.390415,0.4
60,4069864147321924352,270.88234427564,-22.21572911292,-0.405,-1.497,0.2624,17.753693,0.3
61,4069862601114081024,270.87617888547,-22.27879246267,-0.629,-1.691,0.4654,17.161833,0.1
62,4069861948298669696,270.79089042738,-22.29552613016,-0.239,-1.301,0.3764,17.827652,0.1
63,4069861810859715968,270.7641148493,-22.32030813749,-0.018,-1.472,0.2301,17.604599,0.1
64,4069863803724533760,270.8673875196,-22.23924302636,-0.477,-2.146,0.4425,17.219984,0.2
65,4069863425767409408,270.85392694867,-22.25471888689,0.121,-1.167,0.3635,16.228018,0.1
66,4069863318392303232,270.85075458848,-22.27495601985,-0.375,-1.657,0.3171,17.233736,0.3
67,4069862360615486336,270.85720117641,-22.32389476204,0.512,-1.5,0.3815,16.973665,0.1
68,4069861776499967616,270.81135509789,-22.29274384992,-1.084,-1.314,0.3029,17.310036,0.2
69,4069863627629938688,270.84928465113,-22.24349374097,-0.32,-1.652,0.3885,17.209122,0.5
70,4069863253968719360,270.82382134581,-22.27921755271,-0.265,-1.208,0.2603,17.87857,0.1
71,4069863421471609088,270.86617778734,-22.256357562,0.27,-1.536,0.2466,17.035461,0.3
72,4069859744966711552,270.97313887856,-22.29812032814,-1.041,-1.748,0.4056,17.916727,0.1
73,4069859057767212672,270.90521508468,-22.3592333616,-0.195,-1.391,0.331,15.071691,0.3
74,4069863391407665408,270.84635370965,-22.27229218381,-0.682,-1.498,0.278,15.597934,0.1
75,4069863288328452096,270.835098659,-22.27940894609,0.336,-1.359,0.3122,14.437806,0.1
76,4069863735005045120,270.8790466923,-22.24860122448,-0.547,-1.812,0.3772,16.864,0.4
77,4069862429334974976,270.84788603204,-22.30155406271,0.325,-1.398,0.3384,15.952004,0.1
78,4069859710602468224,270.94021865266,-22.29246878002,-0.65,-1.851,0.2943,15.255383,0.2
79,4069863150889483136,270.91833248874,-22.23566820634,-0.217,-1.461,0.3295,17.023792,0.2
80,4069863253968710400,270.832374197,-22.28739973829,-0.307,-1.599,0.2009,17.152014,0.3
81,4069863872443992448,270.90926286938,-22.23686056269,-1.0,-1.467,0.2247,17.949467,0.2
82,4069861707780476928,270.82222441744,-22.31063359703,-0.744,-1.913,0.2462,16.609364,0.2
83,4069862979090789120,270.88548984071,-22.26763002826,-0.539,-1.26,0.3962,16.684671,0.2
84,4069863112216752640,270.91261477293,-22.24782630259,-0.173,-1.337,0.4611,17.104836,0.4
85,4069864181664578304,270.88746046229,-22.20626283607,-0.431,-2.495,0.3983,17.733023,0.1
86,4069863322688184064,270.85492259379,-22.27222992151,-0.321,-1.707,0.2854,16.092424,0.5
87,4069864250401161344,270.87683487068,-22.19352749742,-0.755,-1.758,0.2765,16.504984,0.1
88,4069863219609618304,270.84782321906,-22.28206246475,0.356,-1.387,0.239,16.964653,0.2
89,4069863627612829440,270.84479923813,-22.24700384439,-1.282,-1.244,0.3789,15.050716,0.1
90,4069863494487526272,270.83110301748,-22.2636245774,-0.329,-1.854,0.2711,16.30845,0.6
91,4069861673420741632,270.80906808205,-22.31370229651,-0.353,-1.575,0.4794,17.128458,0.5
92,4069863494487526144,270.83358193544,-22.26591895333,-0.419,-1.866,0.2002,16.355394,0.2
93,4069864074306474880,270.83954416747,-22.22883850982,-1.004,-2.233,0.4511,16.624397,0.1
94,4069864112942725504,270.85123638364,-22.21374269307,-0.558,-1.63,0.3825,17.665255,0.2
