,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5338424137368227968,163.2336663321,-59.49310316863,-5.658,2.357,0.0544,17.691053,0.3
1,5338426100196497664,163.29624424596,-59.45881242755,-5.433,2.802,0.0704,17.486,0.2
2,5338426134576594944,163.29897432163,-59.43595509239,-5.9,2.329,0.1601,15.408171,0.6
3,5338425516101232768,163.19922668499,-59.42904660446,-6.44,3.15,0.2291,16.551321,0.2
4,5338424137366316672,163.23623089928,-59.50562023247,-6.205,2.873,0.155,17.485611,0.3
5,5338425271238910080,163.20304966457,-59.4733579959,-6.671,2.344,0.1807,17.96942,0.5
6,5338426959210324352,163.26451806652,-59.4185257942,-5.642,2.241,0.1613,16.201683,0.1
7,5338426306375303424,163.27357244916,-59.41749403169,-6.049,2.96,0.1585,16.803926,0.1
8,5338426237635722112,163.29979565279,-59.42895446995,-5.498,2.445,0.207,17.672749,0.2
9,5338425309942741120,163.21034488122,-59.46484746702,-6.158,2.596,0.1505,16.896555,0.8
10,5338424893281775872,163.19855562251,-59.48489422514,-5.752,2.107,0.1008,17.899002,0.4
11,5338425275582994304,163.21095386958,-59.46876206118,-6.404,2.535,0.1341,15.656128,0.7
12,5338424485309014016,163.28811274937,-59.49791868794,-6.279,2.433,0.1446,15.66885,0.6
13,5338425275582997760,163.20931944077,-59.46673212337,-6.144,2.385,0.184,16.339605,0.6
14,5338424691467502464,163.25488412774,-59.45432157296,-6.514,2.181,0.2446,16.350721,0.3
15,5338425653540132608,163.15068747124,-59.43731236852,-6.503,2.87,0.2166,16.554777,0.2
16,5338424618403885696,163.29984556276,-59.46781175352,-5.544,2.71,0.1232,17.849764,0.1
17,5338425309942748288,163.21044642027,-59.46096032123,-5.949,2.355,0.0764,12.766349,0.4
18,5338425653540129664,163.13539618186,-59.43313262776,-6.546,2.126,0.1491,16.263664,0.3
19,5338425653540128768,163.13965738543,-59.43498759652,-5.89,2.449,0.1953,13.611307,0.5
20,5338425339958405248,163.19429866939,-59.46267700528,-6.039,2.707,0.0568,17.060555,0.5
21,5338425447381760640,163.23060315228,-59.43963571258,-6.516,2.077,0.1646,17.575521,0.3
22,5338425378641703168,163.20117132833,-59.46147192751,-5.564,2.259,0.1818,17.530708,0.1
23,5338425653540127232,163.14767644403,-59.43920582141,-6.131,2.489,0.1551,14.440626,0.7
24,5338425378662219776,163.20433148149,-59.46112057339,-6.352,2.417,0.1583,15.944389,0.7
25,5338425168159712512,163.15088606599,-59.45933460265,-5.846,1.716,0.125,16.890608,0.2
26,5338425653540141312,163.14588296879,-59.43148724935,-6.417,2.574,0.0569,16.291573,0.5
27,5338424554028511488,163.25032396991,-59.47323018249,-6.54,2.379,0.0871,17.552635,0.3
