,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,2058239557685774208,300.32299671106,33.59449052934,-2.313,-5.074,0.3067,16.789421,0.5
1,2058239557685776256,300.32206242871,33.5993421289,-2.355,-5.01,0.3106,15.608766,0.7
2,2058241035154524416,300.32634290954,33.59959402689,-2.185,-5.054,0.2661,16.322306,0.5
3,2058241069514262912,300.33483257961,33.61219413695,-2.309,-4.81,0.2978,15.210781,0.1
4,2058241035154525184,300.32776264846,33.60515658061,-2.292,-5.196,0.2395,14.642928,0.6
5,2058239557685773440,300.32497868443,33.59590359682,-1.908,-4.99,0.2051,16.722424,0.1
6,2058241172573483648,300.3528036286,33.63042235386,-2.306,-5.201,0.2738,17.76616,0.4
7,2058239557685777536,300.31178163797,33.58815867437,-2.551,-5.214,0.3261,16.119713,0.5
8,2058240966435024768,300.34718909875,33.58987279535,-2.379,-4.999,0.3317,17.353611,0.4
9,2058239488966278400,300.33126339843,33.57031174427,-2.335,-4.905,0.2066,16.950237,0.1
10,2058239454606550528,300.31972014277,33.5735484057,-2.269,-4.97,0.2619,17.496489,0.3
11,2058239523326031488,300.31800499884,33.57948034138,-2.411,-5.486,0.2623,16.505753,0.1
12,2058241172593472896,300.35358896248,33.62986502075,-2.28,-4.995,0.3106,16.506638,0.2
13,2058241069514258304,300.34019467089,33.61237231103,-2.434,-5.033,0.2514,16.092518,0.7
14,2058241030817622784,300.33144096281,33.60551109803,-2.337,-4.955,0.2625,15.952563,0.9
15,2058240897715534080,300.36908115332,33.60205000701,-2.38,-4.785,0.2121,15.803805,0.1
16,2058241000794767744,300.35102752941,33.59982300274,-2.406,-4.998,0.3016,16.31002,0.5
17,2058241065177369984,300.35312441867,33.61100492513,-2.42,-4.833,0.2131,17.842041,0.1
18,2058241069514252416,300.34605050369,33.60816787773,-2.332,-5.104,0.1802,15.365407,0.8
19,2058427264924166912,300.29283741367,33.60139082786,-2.42,-5.115,0.2355,16.690199,0.8
20,2058428776752651520,300.31264674861,33.6243971089,-2.213,-5.074,0.2296,15.736903,0.7
21,2058428776752648448,300.31546231422,33.62329093949,-2.334,-4.943,0.2698,15.354303,0.4
22,2058427196204683648,300.29373556546,33.59205335573,-2.35,-5.002,0.2103,15.603015,0.5
23,2058428811112380544,300.32997790777,33.6342204552,-2.309,-4.963,0.2286,16.487888,0.6
24,2058428708033165056,300.31314128902,33.60972263972,-2.312,-5.135,0.2117,15.902715,1.0
