,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,473218916860088704,57.06002601286,58.95850172596,0.548,-2.418,0.5352,16.596066,1.0
1,473218504543228416,56.9840135581,58.97997449276,0.26,-2.419,0.5764,14.614509,1.0
2,473224242619594368,57.58405477671,59.12277534928,0.523,-2.418,0.5366,13.808907,1.0
3,473188710350379648,56.94758880455,58.71315937567,0.228,-2.134,0.4894,15.153055,0.2
4,473205516562249344,57.59137013942,58.89232489608,0.611,-2.378,0.5453,14.915219,1.0
5,473206994030987264,57.61785431605,58.9100683129,0.731,-2.554,0.5542,17.593447,0.7
6,473218057866660608,56.79040613245,58.92205385213,0.637,-2.396,0.6214,16.09952,0.8
7,473176138985246464,56.88982991799,58.63243519344,0.38,-2.505,0.6531,15.354265,0.8
8,473217748629016064,56.86276700984,58.89941585616,0.529,-2.481,0.5787,15.709306,1.0
9,473219187436276992,57.04783362072,58.9745072403,0.125,-2.286,0.6588,17.942162,0.4
10,473215446526504704,57.24548517311,58.93517196276,0.042,-1.812,0.4403,17.136122,0.1
11,473219226097723392,57.07853761844,58.98884067285,0.897,-2.323,0.5624,16.471437,0.7
12,473214209575961600,56.97723535624,58.87407870131,1.029,-2.187,0.6183,15.45822,0.4
13,473218023506919808,56.83957787181,58.91605110412,0.742,-2.196,0.5644,17.010548,0.4
14,473193623793158528,56.68385095707,58.80776701355,1.394,-2.658,0.5838,17.317799,0.1
15,473201840070298368,57.33409109809,58.79793761742,0.441,-2.392,0.6373,15.891552,0.8
16,473191016751940608,56.67856693659,58.74048133994,0.315,-2.758,0.6108,15.7711,0.5
17,473202011868974208,57.38933895252,58.83375083701,0.573,-2.198,0.5363,16.08707,0.5
18,473216958355040256,56.84661204865,58.87565019303,0.497,-2.376,0.5469,17.106047,1.0
19,473202424185853184,57.21674459552,58.82196619672,-0.403,-2.436,0.467,16.01572,0.4
20,473214789389522816,57.1374463599,58.88314263327,0.546,-2.597,0.4818,16.236298,1.0
21,473202939581917696,57.27146412626,58.84036522281,0.195,-1.951,0.6217,16.80705,0.4
22,473219397896408192,57.15104052982,58.99108526614,0.454,-2.429,0.537,14.060977,1.0
23,473223108748109568,57.40148177563,59.08896174584,0.518,-2.105,0.5923,13.904354,0.9
24,473201908789764224,57.3852166437,58.81753826947,0.61,-2.226,0.5875,16.217674,0.9
25,473187237180766976,56.60108106186,58.64372948858,0.481,-2.35,0.6097,12.264688,0.8
26,473203764215639168,57.47827732742,58.77861196199,0.549,-2.41,0.6365,17.014393,0.7
27,473198988212003200,57.39917852515,58.81182345079,0.782,-2.573,0.4999,15.435612,0.7
28,473220286948306176,56.99400080254,59.02626697249,0.34,-2.692,0.5364,17.94872,0.7
29,473219290515521536,57.06327432457,58.98720558119,0.62,-2.628,0.6082,17.961014,0.6
30,473215618325217792,57.10794748515,58.90986562782,0.422,-2.324,0.4881,14.95717,0.9
31,473203283179281920,57.31450607869,58.89011267327,0.414,-2.509,0.5276,14.517762,1.0
32,473208162262127872,57.40126396702,58.87431356791,0.495,-2.409,0.4744,16.867418,0.9
33,473204107812999168,57.64443348916,58.80873764765,0.352,-2.461,0.5929,17.499687,1.0
34,473208918176372096,57.38124992182,58.87966415046,0.723,-2.486,0.4722,16.091602,0.7
35,473200293882110208,57.10087584691,58.7311983251,0.801,-2.485,0.4675,14.822305,0.6
36,473217370671880320,56.9941424254,58.91852587235,0.408,-2.549,0.5178,16.502739,1.0
