,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5338808627181516544,163.79297420012,-59.15407980836,-4.6,2.35,0.4128,15.667118,0.8
1,5338808592821753856,163.78022497431,-59.1709133811,-4.674,2.387,0.2962,17.138668,0.3
2,5338809142577629312,163.82051614671,-59.1299252613,-5.03,3.04,0.277,16.768278,0.1
3,5338750662300836096,164.30759665688,-59.27373009479,-4.007,2.991,0.3573,17.323355,0.2
4,5338750593581352704,164.32514423282,-59.28348245233,-4.811,2.106,0.3124,11.092624,0.7
5,5338751001556551936,164.3531512752,-59.26562322068,-4.396,2.053,0.3931,16.329432,0.6
6,5338750593581344640,164.33398257636,-59.29225955317,-4.608,2.155,0.2663,17.557089,0.2
7,5338752826964616448,164.38257830372,-59.175117606,-4.528,2.056,0.3691,17.310421,0.3
8,5338750490502119936,164.31926650678,-59.29176334911,-4.677,2.177,0.3582,14.973252,1.0
9,5338750623599385728,164.34056341127,-59.28245874617,-4.94,1.908,0.3596,17.08206,0.1
10,5338752895684077312,164.35269474193,-59.17017155399,-5.205,2.363,0.2662,17.761522,0.3
11,5338750559221581312,164.28666491158,-59.2885551635,-4.52,1.974,0.4542,16.868992,0.4
12,5338751104635857024,164.32749756212,-59.23498064349,-4.9,2.244,0.3544,16.38922,0.3
13,5338752586446412160,164.41704051788,-59.20292685696,-4.622,2.444,0.4589,14.225408,0.2
14,5338753234939896320,164.38668714037,-59.15120006564,-4.438,1.465,0.3358,17.728579,0.1
15,5338751246416521984,164.3352285593,-59.21374052373,-4.821,2.186,0.4704,16.788477,0.6
16,5338753269305123584,164.37033977683,-59.1625008881,-4.204,1.422,0.3211,17.766788,0.1
17,5338750829760162944,164.3820434393,-59.26110948487,-5.527,2.649,0.2907,17.691301,0.1
18,5338752483367165952,164.40236209764,-59.21002517193,-4.772,2.194,0.3239,17.709822,0.1
19,5338750657961462912,164.29330893449,-59.27020887718,-4.548,2.253,0.4292,17.81427,0.7
20,5338751108977510016,164.31954529644,-59.23653443768,-4.679,2.207,0.3684,16.175581,0.8
21,5338751143293769344,164.36142791399,-59.24836853057,-4.492,2.464,0.346,16.917418,0.4
22,5338750456142363008,164.31879104252,-59.30283756519,-4.553,1.564,0.3435,17.409163,0.1
23,5338752723885290112,164.34029159655,-59.20662619832,-4.653,2.268,0.2738,17.359728,0.7
24,5338752719546828800,164.34098449928,-59.20189916133,-4.92,2.115,0.3473,17.889084,0.4
25,5338750967196883072,164.39605713478,-59.24145189382,-4.45,2.527,0.4999,16.772097,0.1
26,5338760660985634560,164.02371219714,-59.22863812973,-4.863,2.425,0.3068,16.949457,0.5
27,5338757637328658048,164.08599846205,-59.25264239482,-4.725,2.131,0.3562,14.291757,1.0
28,5338764023897673216,164.15943173641,-59.17602993338,-4.896,2.359,0.4166,17.681461,0.3
29,5338762134112230656,163.8560198813,-59.1356530859,-5.252,2.588,0.322,13.386256,0.2
30,5338766738317005952,164.00917733532,-59.17866964222,-4.546,2.02,0.3022,17.247107,0.7
31,5338757465529973504,164.14543426976,-59.27072289233,-4.495,3.126,0.3113,16.76559,0.2
32,5338764814174772608,164.21792230644,-59.15751536076,-5.448,2.6,0.3622,17.829245,0.2
33,5338761829216746624,163.89193056638,-59.17370007254,-5.327,2.634,0.3396,17.577337,0.1
34,5338759698912843904,163.87878475781,-59.24695739029,-5.572,2.289,0.2471,17.166357,0.1
35,5338763650283177344,164.08422999155,-59.21246733882,-4.555,2.3,0.4673,17.13659,0.8
36,5338763650283176832,164.09221568369,-59.21641339339,-4.492,2.261,0.4155,15.249609,0.8
37,5338765879325773056,164.15112972362,-59.10814432238,-4.428,2.167,0.3709,17.499329,0.3
38,5338763925122082816,164.18273910164,-59.1973242627,-4.372,2.093,0.4025,16.564247,1.0
39,5338761172041459712,163.87708938289,-59.23026699591,-5.425,2.609,0.4074,17.824867,0.2
40,5338757534208973696,164.11788780798,-59.25964668639,-4.427,2.399,0.4629,17.905262,0.5
41,5338763650283178624,164.1121525133,-59.22223664345,-4.398,2.265,0.3878,17.208523,0.7
42,5338762855668639104,164.30119525193,-59.22344525724,-4.953,2.566,0.4454,17.883095,0.1
43,5338763371062447232,164.13910986023,-59.2402964912,-4.667,2.186,0.4532,17.449402,0.8
44,5338766673940155648,164.03583168744,-59.1924733839,-4.418,1.856,0.4964,17.555702,0.3
45,5338765844966959488,164.16137188551,-59.1204550351,-4.062,1.839,0.2991,17.961521,0.3
46,5338763375405276672,164.16756050151,-59.24020961347,-4.526,2.192,0.3563,16.890965,0.9
47,5338768976042833664,164.07868186717,-59.08206189701,-4.697,2.286,0.2829,16.690046,0.4
48,5338763444124753664,164.12295006364,-59.22305853738,-4.688,1.869,0.3858,14.783303,0.3
49,5338763719002660096,164.07012882007,-59.20319536385,-4.742,1.955,0.3155,16.551535,0.5
50,5338765879325783296,164.14775342051,-59.1017229294,-5.128,3.003,0.3176,17.719866,0.1
51,5338760867144124928,164.01456834643,-59.18971142733,-5.471,2.377,0.292,17.040365,0.2
52,5338763577220987904,164.12430115165,-59.20464742632,-4.652,2.112,0.3427,14.349757,1.0
53,5338757667345868800,164.04464830304,-59.24481905685,-4.686,2.22,0.3521,17.260506,0.9
54,5338767258055839232,164.07156047281,-59.1309367786,-4.664,2.194,0.3541,15.224846,1.0
55,5338760798424646016,164.03021667643,-59.19787604618,-4.554,2.324,0.3864,14.759912,1.0
56,5338762275893636480,164.26170216114,-59.28779233217,-4.6,2.068,0.3297,14.537734,0.9
57,5338760867144123136,164.01226079505,-59.19089007155,-4.619,2.21,0.3948,15.270901,1.0
58,5338757740367411840,164.092174363,-59.24854233113,-4.754,2.494,0.3801,15.424385,0.4
59,5338762275893635328,164.25296473669,-59.28733845198,-4.815,2.23,0.3468,15.393913,0.5
60,5338763375405266560,164.15015712416,-59.24274380201,-4.514,2.368,0.411,16.910217,0.7
61,5338764234398861056,164.13508896236,-59.15613155997,-4.59,2.149,0.4048,14.897254,1.0
62,5338763375405265408,164.15890917654,-59.2475073232,-4.939,2.314,0.345,12.764915,0.3
63,5338763650283175808,164.11086280187,-59.22481784833,-5.057,2.075,0.348,13.97565,0.1
64,5338761073302557056,163.99404628034,-59.17931060322,-4.498,2.32,0.4499,15.901658,0.8
65,5338763650283175040,164.09603995375,-59.21972877933,-5.526,2.58,0.3245,16.86352,0.1
66,5338763650283175296,164.10845732916,-59.22415459254,-4.709,2.233,0.327,12.468307,0.8
67,5338763444124744960,164.11553908486,-59.22689581912,-4.708,2.203,0.3362,16.06948,0.6
68,5338763650283174272,164.09840190178,-59.22160808925,-4.478,2.347,0.3968,17.47594,0.8
69,5338763439781254400,164.13828549306,-59.23470934916,-4.619,2.233,0.3298,12.285322,1.0
70,5338757804787096320,164.05194698996,-59.23011852129,-4.612,2.353,0.311,17.940052,0.6
71,5338756743975512448,164.18034004058,-59.26000046276,-4.563,2.216,0.3502,15.452142,1.0
72,5338764062600179584,164.18208318667,-59.16737765059,-4.84,2.297,0.3624,17.79188,0.3
73,5338757843487137792,164.07744189904,-59.22214715229,-4.773,2.047,0.3752,17.533833,0.5
74,5338764543636565760,164.28860582336,-59.17476024845,-4.561,2.01,0.3483,15.633974,0.8
75,5338757774767668736,164.09473453471,-59.22346051162,-4.648,2.192,0.3776,13.759849,1.0
76,5338757740367457536,164.07261360929,-59.23468246233,-4.47,2.261,0.3961,17.176786,0.8
77,5338765643148194304,164.17757553569,-59.13274933123,-5.5,2.247,0.3061,17.464626,0.2
78,5338757568609236352,164.11170060821,-59.2314862557,-4.602,2.229,0.4166,15.528379,0.9
79,5338759935090867328,163.81908717453,-59.23998543,-4.594,2.489,0.316,17.84245,0.4
80,5338757774767665280,164.08500949126,-59.22242455172,-4.843,2.213,0.3813,14.94273,0.5
81,5338757568609225472,164.115893758,-59.2397798388,-4.94,2.227,0.3187,15.354354,0.2
82,5338756262899762432,164.26033992473,-59.3301458065,-5.022,2.177,0.3399,17.384388,0.2
83,5338764818514464256,164.24224884945,-59.16290049628,-4.71,1.232,0.2974,15.254522,0.1
84,5338761863576520448,163.93496383188,-59.17133650686,-4.624,2.313,0.4221,15.426464,0.8
85,5338767739092227968,163.99464532942,-59.06657387571,-4.792,2.201,0.2915,14.854426,0.3
86,5338764058272796160,164.18615681389,-59.17199183251,-5.462,2.565,0.3697,17.673582,0.2
87,5338757736067604096,164.08196531678,-59.24244583861,-4.127,2.122,0.2721,17.897997,0.3
88,5338764470576368256,164.32563543088,-59.20076231839,-4.909,1.998,0.3999,17.539106,0.3
89,5338757740407909888,164.07979298818,-59.2297048636,-4.725,2.125,0.3244,17.17052,0.8
90,5338764543636546688,164.28397426963,-59.1859765407,-5.595,2.486,0.3148,14.056133,0.1
91,5338757499889740544,164.14029957934,-59.25366403966,-4.624,2.212,0.4016,15.612524,0.9
92,5338760764064890240,164.02387892937,-59.20662480016,-4.719,1.998,0.319,15.498408,0.4
93,5338762482052110592,164.25901590091,-59.25724129856,-4.469,2.349,0.4751,16.386383,0.8
94,5338763100527452544,164.2312301005,-59.21673503071,-4.387,2.358,0.4628,15.159973,0.8
95,5338766914458413440,164.04056481722,-59.14258359637,-5.268,2.845,0.3058,15.667094,0.1
96,5338757534249467904,164.12214250032,-59.25207610377,-4.676,2.048,0.3769,13.498648,0.7
97,5338764371837848448,164.12686853855,-59.12958857164,-4.604,2.208,0.3409,15.472139,0.8
98,5338757534249475072,164.10662312869,-59.24334066509,-4.265,1.732,0.4294,17.353518,0.3
99,5338757534249475456,164.10858595427,-59.2437707811,-4.496,2.23,0.3905,16.474255,1.0
100,5338757465529997312,164.14465337155,-59.25853679918,-4.653,2.131,0.3573,13.634124,1.0
101,5338763512844269568,164.16061393927,-59.21464609972,-4.451,2.195,0.4647,16.112144,0.8
102,5338763787722177920,164.09705174299,-59.18953008589,-4.613,2.27,0.4067,16.048069,1.0
103,5338760832784356608,164.01550321412,-59.20958573424,-4.166,2.278,0.4146,17.314907,0.6
104,5338763822081951232,164.1162381036,-59.17711788655,-4.39,2.112,0.2764,17.31938,0.4
105,5338759733272565376,163.84507958623,-59.24732956748,-4.61,2.31,0.3994,16.932674,0.4
106,5338763714659911168,164.08006071483,-59.21475385791,-4.715,2.217,0.4229,16.89872,0.8
107,5338765127752212736,164.32539815877,-59.12898772016,-4.65,2.572,0.3243,16.85643,0.1
108,5338766708299935232,164.04793824843,-59.1733740959,-5.579,2.403,0.2725,16.752224,0.2
109,5338756709615739904,164.16697283836,-59.27255696985,-4.24,2.166,0.2699,17.74859,0.2
110,5338763474141741440,164.14429717997,-59.21488908042,-4.885,2.481,0.3839,14.987947,0.7
111,5338757809127367168,164.04674191015,-59.22700978685,-4.727,2.31,0.4113,17.887897,0.6
112,5338765127752214528,164.31925731169,-59.12551994417,-4.702,2.162,0.3411,13.74478,1.0
113,5338766399062535040,164.16671467282,-59.06694563106,-4.146,2.108,0.2949,17.366385,0.1
114,5338758668120673408,163.96939742594,-59.29700713727,-4.846,2.277,0.3472,13.723553,0.2
115,5338757534249464448,164.12650328253,-59.25583842423,-4.827,2.311,0.3549,12.467893,0.2
116,5338763615923512576,164.13773232325,-59.18986377475,-4.627,2.161,0.3711,15.156144,0.9
117,5338760729705122304,163.99493596671,-59.21123700952,-4.523,2.176,0.388,13.84474,1.0
118,5338762722570314496,164.24296669818,-59.23046595213,-4.588,1.54,0.421,16.038328,0.1
119,5338764646677214720,164.32522555632,-59.16084590646,-5.265,2.657,0.2735,17.14101,0.1
120,5338756567834086272,164.15109436912,-59.30157774431,-4.954,2.422,0.4575,17.61744,0.2
121,5338762791289793024,164.1882365337,-59.20860483374,-4.604,2.165,0.3504,13.647446,0.9
122,5338757637328666752,164.07974000845,-59.24514877742,-4.707,2.331,0.4174,17.247843,0.3
123,5338757637328667264,164.07202949785,-59.2417584097,-4.648,2.331,0.3632,13.151531,0.9
124,5338766703959398272,164.05866712767,-59.17902773241,-4.293,2.204,0.2945,17.800127,0.2
125,5338762825649536000,164.28671351231,-59.24356982527,-4.401,2.198,0.4189,15.616985,0.8
