,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5437223645196438272,142.73133411741,-35.47522301786,0.237,-3.014,2.2781,17.372818,0.8
1,5437197016399303424,142.46823088749,-35.61991088174,-0.145,-2.732,2.1938,17.290733,0.8
2,5435991023942886656,144.01789396675,-37.76358551357,0.193,-3.372,2.3938,16.382122,0.6
3,5436051531441457536,144.39019934709,-37.0511580246,-0.174,-3.519,2.143,16.986853,0.6
4,5436161791842861696,143.060518458,-37.47774589371,0.29,-4.024,2.4791,17.894058,0.4
5,5436206558281240832,142.49965303643,-37.28104935444,0.113,-3.048,2.3391,12.389476,0.9
6,5436259648377049984,142.67008467932,-36.6860403194,0.042,-3.085,2.3781,11.964558,1.0
7,5436234320951594112,142.78835525951,-37.02383250139,-0.133,-2.857,2.3675,14.561135,1.0
8,5436355580767094144,142.95460523228,-36.53763732513,-0.129,-2.218,2.2153,9.242468,0.7
9,5436349911410112256,143.29103051577,-36.40464453056,-0.262,-3.284,2.204,7.613853,0.7
10,5436301666037472384,143.42124491407,-36.49487252341,-0.107,-2.999,2.3109,14.737977,1.0
11,5436349911410110336,143.2920149982,-36.40323043638,-0.217,-3.631,2.2548,10.077837,0.5
12,5436378288254622592,143.27719079433,-36.24902015981,-0.165,-3.153,2.2996,17.851482,0.9
13,5436275969253774208,143.6263400174,-36.93641260642,0.193,-2.888,2.337,14.768834,0.9
14,5436284181231313152,143.65053952755,-36.65011616255,0.028,-2.968,2.4479,17.148726,1.0
15,5436320465110895616,143.69568681877,-36.51134673922,0.2,-3.845,2.4177,17.833727,0.5
16,5436379838742072832,143.51374353493,-36.14134922049,0.425,-2.556,2.4241,7.918778,0.5
17,5436366129206604928,143.18836003047,-36.27774836962,0.353,-3.207,2.3476,11.880624,0.6
18,5436345444644238848,143.0422663723,-36.51185720942,0.083,-3.072,2.3796,13.839152,0.9
19,5436435432798642048,144.81926891157,-36.69235851412,0.37,-3.523,2.4204,13.552532,0.6
20,5436513425104590848,144.8782767027,-36.37204500801,0.562,-3.644,2.4807,12.900569,0.5
21,5436495046944284672,144.61563377105,-36.31062642415,0.414,-2.658,2.6046,17.984365,0.6
22,5436515525348622848,144.91866524514,-36.3038785489,0.803,-2.866,2.416,13.902523,0.5
23,5436522294217013504,145.03905817328,-36.17770816119,0.311,-3.459,2.4132,13.693209,0.6
24,5436532258536609664,144.61361242772,-36.14532617692,0.159,-3.124,2.4557,15.031881,0.7
25,5436519987816816768,144.86758310862,-36.19607515668,0.097,-3.259,2.2708,16.964888,0.5
26,5436532258540894848,144.61299445767,-36.14686123701,0.32,-3.081,2.4304,11.463127,0.7
27,5436721232802465280,144.03964689089,-35.86751858127,0.144,-2.892,2.4321,12.329072,0.8
28,5436717491890906112,144.11970140859,-35.91938698075,-0.015,-3.082,2.3441,14.106875,1.0
29,5436703026441343104,144.27720092967,-36.05958766895,0.317,-3.219,2.522,14.891168,0.7
30,5437014669268553984,142.5707950435,-36.57978275661,-0.016,-3.014,2.245,8.926734,1.0
31,5437015008567746816,142.53648171181,-36.56209495248,-0.235,-3.017,2.3272,17.387617,0.7
32,5437131389299536256,142.65992963546,-36.09549101046,-0.247,-3.182,2.4591,14.685926,1.0
33,5437135920486349312,142.53079079533,-36.01029526278,0.011,-2.917,2.3271,11.828959,1.0
34,5437128464421391616,142.92419134336,-35.94571312701,-0.291,-3.204,2.2559,10.514616,0.7
