,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3031537451106621568,111.55834244743,-15.02199703056,-1.531,2.11,0.2521,17.649181,0.2
1,3031535118941113216,111.50988363803,-15.10484536817,-2.109,2.044,0.2207,16.34037,0.1
2,3031535767474439552,111.55078583543,-15.04984091186,-1.602,1.65,0.2475,13.841813,1.0
3,3031535943574781952,111.53213674213,-15.0516256432,-1.022,0.989,0.216,17.425232,0.1
4,3031535668696876032,111.55823002767,-15.07076834168,-1.415,2.113,0.228,17.228907,0.1
5,3031534088148963968,111.54056880685,-15.12825022526,-1.734,1.419,0.267,16.025314,0.6
6,3031535217717516416,111.5091245912,-15.08151990809,-1.584,1.609,0.3353,16.577772,0.8
7,3031535531257946240,111.53740695758,-15.08867409236,-1.563,1.599,0.2874,15.031481,0.9
8,3031534740983953024,111.5691202275,-15.09791665744,-1.563,1.665,0.2491,16.015667,1.0
9,3031535806135842688,111.51885464624,-15.06526480985,-1.135,1.239,0.3314,15.207283,0.1
10,3031535565617673600,111.53758354827,-15.07684387332,-1.574,1.481,0.3608,17.338163,0.5
11,3031534156868467712,111.50470827227,-15.14565261112,-1.54,1.639,0.2561,16.341753,1.0
12,3031529449584310784,111.44768586646,-15.107275755,-1.868,1.396,0.2236,17.676723,0.2
13,3031528350065639424,111.48510725542,-15.14369377009,-2.427,1.859,0.2074,16.069588,0.1
14,3031535874855316992,111.50147790696,-15.0510014944,-1.643,1.679,0.3179,15.434003,1.0
15,3031534740983950464,111.56259177935,-15.09090317451,-1.596,1.648,0.2311,15.332715,1.0
16,3031535428178736640,111.50186256957,-15.07167153905,-1.159,1.48,0.2446,17.081125,0.5
17,3031535703056601984,111.56797882478,-15.06038494291,-0.835,1.243,0.1965,16.351984,0.1
18,3031534947142358144,111.57295585965,-15.06410924504,-2.149,1.508,0.3931,14.738832,0.1
19,3031534397386596096,111.5322017593,-15.10306569892,-1.503,1.815,0.1343,17.123415,0.7
20,3031534947142353408,111.57632374043,-15.06024198863,-0.998,1.676,0.1986,17.734789,0.1
21,3031534947142355456,111.57881741828,-15.06505006641,-1.109,1.845,0.2654,14.534476,0.1
22,3031536458970823424,111.59535298635,-15.0404426086,-1.438,1.259,0.3083,15.856944,0.2
23,3031534771040978432,111.54808408894,-15.09681742847,-1.472,1.737,0.2781,16.025267,1.0
24,3031535045918604288,111.48454281194,-15.11411750881,-1.211,1.5,0.328,17.788597,0.2
25,3031535668696870528,111.55366843316,-15.0594367708,-1.477,1.676,0.3111,16.205837,1.0
26,3031537180525335936,111.57988918785,-15.04017420338,-1.404,1.239,0.1184,16.979391,0.1
27,3031535359459283328,111.46961585682,-15.08096630338,-1.692,1.889,0.2023,13.600716,0.7
28,3031535359459283200,111.46868693768,-15.08032150118,-0.887,1.058,0.126,14.970727,0.1
