,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,5255678195116418560,155.9846235977,-57.7486315034,-5.425,2.787,0.2581,16.229542,1.0
1,5255678195116433920,156.00191975849,-57.74373070243,-5.611,3.0,0.2641,16.442198,0.9
2,5255678504354310272,156.01156828233,-57.74378902173,-5.549,2.654,0.4211,15.727731,0.9
3,5255676958165809408,156.06527485205,-57.82200657826,-5.601,2.811,0.1607,13.635571,1.0
4,5255681523690089856,155.96460932516,-57.72261845186,-6.098,3.418,0.25,17.89409,0.5
5,5255677915917560320,156.02535746966,-57.76601554847,-5.463,2.809,0.3001,16.730453,0.9
6,5255678160749910912,155.99422537519,-57.75514553153,-5.529,2.295,0.0032,17.828533,0.9
7,5255678293880800640,156.05493439841,-57.75531633671,-5.135,2.201,0.2954,17.467781,0.8
8,5255678431319754496,156.05551864852,-57.72708477302,-5.145,3.128,0.4428,17.625248,0.7
9,5255677679720311168,156.0326495015,-57.80920279907,-5.223,3.52,0.3344,14.223934,0.5
10,5255678328240537856,156.0531315731,-57.75020032474,-5.677,3.109,0.1957,17.52006,0.9
11,5255681081334419840,155.93145519134,-57.7423724287,-4.973,2.235,0.0975,16.728708,0.6
12,5255677847204203648,156.05779589049,-57.78542966945,-5.142,3.404,-0.0334,17.694796,1.0
13,5255678195116429184,155.99631043985,-57.74570459647,-5.556,3.319,0.13,16.404442,1.0
14,5255678328240541440,156.05895098574,-57.73896697666,-4.655,2.66,0.2231,17.93313,1.0
15,5255681081334420736,155.92980498741,-57.74058639069,-5.503,3.328,0.5064,17.462471,0.5
16,5255678195116425728,155.98844647648,-57.74386614645,-5.425,3.211,0.1465,15.239913,1.0
17,5255678126396941952,156.01648802833,-57.76535598505,-5.02,2.715,0.2779,17.995335,0.9
18,5255677095604799232,156.07990646124,-57.79126998949,-5.499,2.756,0.242,17.34812,0.9
19,5255677744119824256,156.01272973721,-57.80989009122,-5.363,3.14,0.2974,17.560368,0.8
20,5255678573073559040,156.00352778586,-57.74088210465,-5.069,3.166,-0.0004,17.102125,1.0
21,5255678431313201280,156.06767308475,-57.72881122811,-5.03,3.116,0.1686,13.649673,1.0
22,5255678504354081536,156.0099777536,-57.74299980353,-5.02,3.471,0.0424,14.563971,1.0
23,5255678573073567872,156.00934114469,-57.73287154439,-4.822,3.552,0.0822,16.613497,1.0
24,5255677473561940736,156.09714846002,-57.77803109869,-5.102,2.736,0.2073,16.044258,0.9
25,5255681012614939520,155.93926070717,-57.75275131929,-6.072,3.038,0.2637,15.934695,0.5
26,5255678504354093440,156.03769653272,-57.74462879061,-5.527,2.938,0.1886,17.57771,1.0
27,5255678229476186880,156.07310743353,-57.76263010226,-6.081,2.962,0.2911,16.224789,0.6
28,5255678160748476672,155.98173398597,-57.75292208253,-5.364,3.267,0.3419,16.252092,0.6
29,5255678504354087936,156.02155276958,-57.74351541364,-5.25,2.844,0.0942,17.77797,0.9
30,5255681528011063808,155.97465966347,-57.71972936225,-5.104,3.642,0.0825,15.518742,0.7
31,5255676923806064512,156.04879470419,-57.82228805506,-5.266,2.973,0.25,17.6681,0.8
32,5255678160748470528,155.99045276434,-57.75951120355,-5.056,2.762,0.1252,15.933375,0.9
33,5255678500033106816,156.01882309575,-57.7501778847,-5.011,3.172,0.1552,17.833694,1.0
34,5255678332555409280,156.05913916337,-57.7458108712,-5.628,2.703,0.3859,14.59596,0.8
35,5255678092029007360,156.00847663729,-57.76576143426,-5.015,2.992,0.3518,17.48413,0.9
36,5255678092029006080,155.99628953365,-57.75940067348,-5.171,3.346,0.2651,16.61346,0.9
37,5255681150045776000,155.9642077173,-57.73141238415,-4.812,2.986,0.3784,16.694708,0.7
38,5255678607433313408,156.00125830884,-57.71858610145,-6.066,2.531,0.3837,14.377131,0.4
39,5255678092029002368,155.99843200237,-57.76169639997,-5.248,3.072,0.0295,17.704258,1.0
40,5255678710512535040,156.00373695089,-57.70952975544,-4.811,2.313,0.1197,16.793787,0.6
41,5255678087722345216,156.01826038953,-57.77220860921,-4.945,2.689,0.3044,17.923197,0.9
42,5255678126388804352,156.01228033779,-57.75587828781,-5.041,2.771,0.1734,16.96472,1.0
43,5255678435634633728,156.07459723403,-57.73884785656,-5.854,2.32,0.2095,17.03797,0.6
44,5255678160748491648,155.99538012774,-57.75749042108,-5.119,2.55,0.2655,17.274755,1.0
45,5255679500786421760,155.92244892734,-57.78160514967,-4.499,2.79,0.309,16.639576,0.5
46,5255676477129446400,155.97708170726,-57.80961308838,-5.318,2.692,0.1141,17.57629,1.0
47,5255678641793058944,156.03878426271,-57.72764859088,-4.678,3.631,0.178,14.74335,0.9
48,5255677679720313344,156.04258776291,-57.81164188327,-5.956,2.625,0.4485,16.957031,0.5
49,5255678092029023360,156.0005775399,-57.75826575083,-5.44,2.881,0.0701,16.872873,1.0
50,5255678401274902400,156.0937433442,-57.73588224679,-5.6,2.395,0.3767,11.239978,0.8
51,5255678122082081408,156.01649041744,-57.75952839243,-5.149,3.315,0.2143,17.7782,0.9
52,5255678676152811264,156.04036143526,-57.70520104383,-5.327,3.231,-0.002,17.089422,1.0
53,5255678126388764416,156.00978942725,-57.75848946098,-5.68,2.799,0.3187,12.765992,0.7
54,5255678435634635520,156.07602486546,-57.73742267212,-5.807,2.399,0.3938,13.794216,0.6
55,5255676442769699584,155.96823424894,-57.81546449436,-4.79,3.133,0.1147,17.940348,0.7
56,5255677611000917120,156.12165681623,-57.75683763624,-4.836,3.076,0.4402,16.92338,0.5
57,5255678710504485888,156.00982495485,-57.70281204616,-4.896,3.413,0.1265,17.690676,0.6
58,5255677056923564544,156.07661642166,-57.80825951156,-4.807,2.843,0.2802,12.107904,0.9
59,5255678160748497152,155.98418008827,-57.75040683209,-5.012,2.507,0.3437,17.588245,1.0
60,5255678126388769792,156.00665393528,-57.75772457058,-5.077,2.676,0.2382,14.042708,1.0
61,5255678126388770432,156.01092896746,-57.76039836295,-5.397,2.292,0.4359,15.190676,0.7
62,5255678122082073472,156.00780748779,-57.76110161282,-5.156,2.726,0.0786,15.460786,1.0
63,5255678126388768896,156.01099314322,-57.7595304112,-5.062,2.815,0.2207,13.561673,1.0
64,5255678122082073728,156.00818297891,-57.745923769,-5.213,3.074,0.0122,17.42052,1.0
65,5255676404089032448,155.94101215885,-57.8203353374,-5.318,3.587,0.4179,17.948643,0.4
66,5255678500030907904,156.01012488732,-57.74336071227,-5.295,3.292,0.0681,12.216545,1.0
67,5255678401274905984,156.10715953265,-57.73757287912,-5.672,2.415,0.4177,15.787842,0.7
68,5255677645360664320,156.11890102404,-57.74100372754,-5.224,3.613,0.3336,17.800531,0.4
69,5255678087722325248,155.99458443389,-57.766072742,-5.338,2.674,0.162,17.857733,0.9
70,5255676339690470656,155.9521835855,-57.82317417793,-5.02,3.204,0.2,17.310743,0.7
71,5255678126388768256,156.00855314359,-57.75775576923,-5.189,2.854,0.0125,13.375605,1.0
72,5255678190801539968,155.99407979399,-57.75150185875,-4.949,3.173,0.1054,17.99514,0.8
73,5255678126388767616,156.01156395394,-57.75832357051,-5.048,2.998,0.1063,14.923163,1.0
74,5255678190801543040,155.99896072915,-57.7492206552,-4.89,2.627,0.0908,17.320768,0.8
75,5255677610992850176,156.11722865845,-57.76222342558,-5.326,3.236,0.3244,17.425968,0.5
