,Source,ra,dec,pmra,pmdec,parallax,phot_g_mean_mag,PMemb
0,3125738698223721344,101.7224807956,1.33386383636,-0.444,0.553,0.4946,17.5804,0.5
1,3125738251547143168,101.6813561504,1.31667888874,-0.755,0.238,0.652,17.81218,0.6
2,3125736293038585856,101.6534700533,1.25968819867,-0.965,-0.643,0.6606,17.836668,0.4
3,3125725607163394432,101.81581186878,1.27735969327,-1.45,0.809,0.6122,16.670092,0.1
4,3125738870022401152,101.72600907646,1.3616090594,-1.025,0.586,0.4249,15.096065,0.8
5,3125738011028964736,101.72514787027,1.30654842812,-0.599,0.348,0.5218,15.525377,0.8
6,3125738079748441344,101.7151428993,1.31581783164,-0.875,0.497,0.6345,10.111336,0.8
7,3125738526425018240,101.75646808162,1.33432702434,-0.806,-0.188,0.6335,17.330662,0.4
8,3125738011028963456,101.72301776187,1.31039922666,-0.964,0.471,0.4821,16.38182,0.8
9,3125737834934387584,101.68226920235,1.27508366342,-1.366,0.692,0.5075,17.997545,0.1
10,3125738109810894592,101.66636720465,1.28802569119,-1.412,-0.045,0.5546,16.566021,0.4
11,3125738079748438912,101.71852958525,1.31613111596,-1.043,0.412,0.552,14.588593,1.0
12,3125739037523977472,101.64393068284,1.32606926014,-0.893,0.087,0.5448,17.212112,0.5
13,3125726637955558272,101.74102372856,1.30933292623,-1.351,0.363,0.4373,17.170708,0.2
14,3125726599297115136,101.76360540558,1.3114456856,-1.114,0.242,0.5702,13.441019,1.0
15,3125750758491837184,101.83596046106,1.36853641557,-1.329,1.144,0.4649,14.227156,0.1
16,3125750105656818048,101.84663490696,1.34121058133,-1.207,0.95,0.6352,15.346122,0.1
17,3125739346760045056,101.64351807628,1.35845573521,-1.142,0.637,0.61,11.874729,0.4
18,3125739655999464704,101.71781848304,1.37667873722,-1.135,0.429,0.5139,15.770401,0.9
19,3125738079746881536,101.7168683661,1.31409020901,-1.172,0.041,0.6033,17.414387,0.8
20,3125725087469911552,101.78530745871,1.25093718506,-0.484,0.829,0.5691,17.673584,0.1
21,3125725538443933952,101.78814914148,1.25922533003,-0.814,0.044,0.5243,16.746792,0.6
22,3125750135719571584,101.83385402788,1.34827761033,-1.48,-0.404,0.455,17.383682,0.1
23,3125739694655670912,101.70168027547,1.37662718923,-1.053,0.258,0.5463,13.538251,1.0
24,3125738457705560192,101.72298241551,1.31635191947,-0.573,-0.227,0.6464,15.571068,0.5
25,3125738595144499328,101.73954315981,1.3378204684,-1.476,0.686,0.6726,13.4938,0.1
26,3125737456975922688,101.62731016901,1.30333761296,-1.029,0.228,0.5446,17.636522,0.3
27,3125739007460925952,101.63616479457,1.32681985334,-1.087,0.409,0.5598,14.532423,1.0
28,3125739007460926208,101.63949926279,1.32180489837,-0.975,0.256,0.5523,15.653367,1.0
29,3125750410597543552,101.81134744906,1.36962329219,-0.814,0.374,0.6172,17.488184,0.4
30,3125738766943198336,101.70538473987,1.34814480077,-0.811,0.116,0.5221,14.960171,0.9
31,3125738079748443392,101.71475792962,1.31110873265,-1.006,0.462,0.5033,16.690723,0.9
32,3125725057407606016,101.78319863412,1.23856805949,-0.971,0.437,0.5774,14.099585,0.9
33,3125726156919234176,101.73511361448,1.27794516988,-1.311,0.719,0.424,15.004496,0.1
34,3125738011028967424,101.71571241375,1.30748158411,-1.195,0.633,0.4886,15.003046,0.5
35,3125726049542646784,101.72537860366,1.26753136487,-1.011,-0.488,0.42,17.670156,0.2
36,3125738285907577344,101.70664085848,1.32424194017,-1.137,0.121,0.5682,14.471473,1.0
37,3125739037525246080,101.64870294034,1.33500111066,-0.359,-0.138,0.4324,17.908342,0.4
