#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-23T09:57:58 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614c4eaa3bccb1	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/618/A93&tab:{J/A+A/618/A93/members}&key:source=J/A+A/618/A93/members&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/618/A93/members
#-order=I
#-out=RA_ICRS
#-out=DE_ICRS
#-out=Source
#-out=GLON
#-out=GLAT
#-out=plx
#-out=pmRA
#-out=pmDE
#-out=o_Gmag
#-out=Gmag
#-out=BP-RP
#-out=PMemb
#-out=Cluster
#Cluster=NGC_2509
#-out=SimbadName
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_36180093
#Name: J/A+A/618/A93
#Title: Gaia DR2 open clusters in the Milky Way (Cantat-Gaudin+, 2018)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_618_A93_members:
#Name: J/A+A/618/A93/members
#Title: Membership probabilities of all individual stars
#Column	RA_ICRS	(F15.11)	[] Gaia DR2 right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Gaia DR2 declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	Source	(I19)	Gaia DR2 source_id (source_id)	[ucd=meta.id;meta.main]
#Column	GLON	(F14.10)	[] Gaia DR2 Galactic longitude (l)	[ucd=pos.galactic.lon]
#Column	GLAT	(F14.10)	Gaia DR2 Galactic latitude (b)	[ucd=pos.galactic.lat]
#Column	plx	(F10.4)	Gaia DR2 parallax (parallax)	[ucd=pos.parallax.trig]
#Column	pmRA	(F9.3)	Gaia DR2 proper motion along RA (pmra)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	Gaia DR2 proper motion along DE (pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	o_Gmag	(I3)	Gaia DR2 number of G observations (phot_g_n_obs)	[ucd=meta.number]
#Column	Gmag	(F9.6)	Gaia DR2 mean G magnitude (phot_g_mean_mag)	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F9.6)	? Gaia DR2 BP minus RP colour null if missing in DR2 (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	PMemb	(F4.1)	Membership probability (proba)	[ucd=stat.fit.goodness]
#Column	Cluster	(a17)	Corresponding cluster (cluster)	[ucd=meta.id.parent]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F15.11)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F15.11)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
RA_ICRS	DE_ICRS	Source	GLON	GLAT	plx	pmRA	pmDE	o_Gmag	Gmag	BP-RP	PMemb	Cluster	SimbadName	_RA.icrs	_DE.icrs
deg	deg	 	deg	deg	mas	mas/yr	mas/yr	 	mag	mag	 	 	 	deg	deg
---------------	---------------	-------------------	--------------	--------------	----------	---------	---------	---	---------	---------	----	-----------------	----------------------------	---------------	---------------
120.25981471232	-18.99599405768	5714218318187590144	237.8218101831	  5.9251990548	    0.3793	   -3.128	    0.651	345	15.443910	 0.760641	 0.3	NGC_2509         	                            	120.25982895578	-18.99599686060
120.19860456618	-19.04315296809	5714216703269986176	237.8320172872	  5.8512420434	    0.4045	   -2.781	    0.663	368	15.691381	 0.743027	 1.0	NGC_2509         	Gaia DR2 5714216703269986176	120.19861723315	-19.04315582267
120.22968694435	-19.11965679338	5714215019652973056	237.9130529529	  5.8365111877	    0.3753	   -2.599	    0.731	331	15.130361	 0.753634	 0.9	NGC_2509         	                            	120.22969878781	-19.11965994074
120.04310718026	-19.04680138808	5714214431235492864	237.7583480218	  5.7237815124	    0.3124	   -2.238	    1.604	326	17.251993	 0.767769	 0.1	NGC_2509         	                            	120.04311737419	-19.04680829419
120.21328168322	-18.93477664821	5714222544435411968	237.7462306687	  5.9194774506	    0.4087	   -2.952	    1.617	335	14.921109	 0.606693	 0.1	NGC_2509         	                            	120.21329512032	-18.93478361029
120.22111450565	-19.11379070214	5714215019652975872	237.9037800607	  5.8326487804	    0.2751	   -2.886	    0.931	358	17.953884	 1.202393	 0.6	NGC_2509         	                            	120.22112765649	-19.11379471061
120.29916653184	-19.10834220502	5714203543491347712	237.9377091840	  5.8984486414	    0.3948	   -2.982	    1.497	342	17.979452	 0.897507	 0.1	NGC_2509         	                            	120.29918011968	-19.10834865044
120.22163094079	-19.12004726482	5714215019652977792	237.9094053666	  5.8298088423	    0.4028	   -2.683	    0.857	311	15.337405	 0.688960	 1.0	NGC_2509         	Gaia DR2 5714215019652977792	120.22164316707	-19.12005095468
120.24363010692	-19.10006886091	5714215152787387008	237.9031355430	  5.8579571196	    0.3929	   -2.940	    0.941	320	17.133507	 1.033184	 0.3	NGC_2509         	                            	120.24364350271	-19.10007291244
120.19420025949	-18.91149412282	5714222819313320320	237.7168000006	  5.9161718014	    0.2954	   -2.943	    0.946	301	17.653950	 0.912039	 0.4	NGC_2509         	                            	120.19421365376	-18.91149819588
120.22999308254	-18.96977516577	5714221410564047616	237.7845465968	  5.9147656633	    0.3886	   -2.684	    0.721	320	15.256639	 0.689094	 1.0	NGC_2509         	Gaia DR2 5714221410564047616	120.23000530230	-18.96977827008
120.37941811854	-19.04250827541	5714205708163757568	237.9209546556	  5.9974883064	    0.3772	   -2.746	    0.762	331	14.667789	 0.608356	 0.9	NGC_2509         	                            	120.37943062605	-19.04251155624
120.24402529832	-18.99078618232	5714218352547332736	237.8095267217	  5.9151620257	    0.3798	   -2.699	    0.723	362	13.697918	 0.730095	 1.0	NGC_2509         	Gaia DR2 5714218352547332736	120.24403758793	-18.99078929524
120.22869122896	-19.13486685698	5714214779134810496	237.9256149542	  5.8277901461	    0.3565	   -2.696	    0.758	314	12.771884	 1.234732	 1.0	NGC_2509         	Gaia DR2 5714214779134810496	120.22870351558	-19.13487012059
