# File generated by CMD 3.5 (http://stev.oapd.inaf.it/cmd) on Mon Oct 18 20:43:15 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 9.32000 0.0900000036 1.0816895962    0.090 -3.423  3.3623  5.216    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.91e-17      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.327 15.381 18.308 13.890
0.0152 0.01508 9.32000 0.0967556536 1.1434191465    0.097 -3.299  3.3800  5.194    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.14e-17      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.017 15.070 17.988 13.579
0.0152 0.01508 9.32000 0.1000000015 1.1711064577    0.100 -3.242  3.3880  5.184    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.83e-17      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.875 14.927 17.841 13.437
0.0152 0.01508 9.32000 0.1200000122 1.3193155527    0.120 -2.978  3.4227  5.138    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-16      0.00 7.087e-01 2.760e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.214 14.188 16.978 12.718
0.0152 0.01508 9.32000 0.1249125674 1.3508567810    0.125 -2.930  3.4280  5.128    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-16      0.00 7.087e-01 2.760e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.095 13.991 16.672 12.539
0.0152 0.01508 9.32000 0.1400000006 1.4384527206    0.140 -2.794  3.4430  5.102    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-16      0.00 7.086e-01 2.761e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.755 13.453 15.869 12.048
0.0152 0.01508 9.32000 0.1599999964 1.5372931957    0.160 -2.653  3.4566  5.073    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-16      0.00 7.084e-01 2.763e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.403 12.927 15.109 11.568
0.0152 0.01508 9.32000 0.1628941298 1.5502636433    0.163 -2.636  3.4581  5.070    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-16      0.00 7.084e-01 2.763e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.360 12.865 15.020 11.511
0.0152 0.01508 9.32000 0.2000000030 1.6938791275    0.200 -2.438  3.4753  5.030    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.14e-16      0.00 7.082e-01 2.766e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.864 12.171 14.060 10.875
0.0152 0.01508 9.32000 0.2500000000 1.8403258324    0.250 -2.235  3.4917  4.989    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.69e-16      0.00 7.079e-01 2.768e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.356 11.486 13.143 10.249
0.0152 0.01508 9.32000 0.3011058569 1.9551234245    0.301 -2.074  3.5028  4.954    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.44e-16      0.00 7.078e-01 2.770e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.956 10.985 12.520 9.784
0.0152 0.01508 9.32000 0.3372775912 2.0220589638    0.337 -1.956  3.5091  4.910    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.41e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.659 10.637 12.108 9.455
0.0152 0.01508 9.32000 0.3479835093 2.0401000977    0.348 -1.926  3.5112  4.902    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.94e-16      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.585 10.546 11.998 9.371
0.0152 0.01508 9.32000 0.3500000238 2.0434176922    0.350 -1.920  3.5116  4.901    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.04e-16      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.571 10.529 11.977 9.355
0.0152 0.01508 9.32000 0.3759547472 2.0840160847    0.376 -1.842  3.5174  4.877    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-15      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.375 10.289 11.684 9.132
0.0152 0.01508 9.32000 0.3873081803 2.1006462574    0.387 -1.810  3.5198  4.867    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.15e-15      0.00 7.092e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.295 10.190 11.563 9.041
0.0152 0.01508 9.32000 0.4000000358 2.1185026169    0.400 -1.776  3.5226  4.858    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.210 10.085 11.436 8.944
0.0152 0.01508 9.32000 0.4115837514 2.1341686249    0.411 -1.740  3.5255  4.846    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.120 9.974 11.302 8.842
0.0152 0.01508 9.32000 0.4500000477 2.1822810173    0.450 -1.627  3.5347  4.809    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.74e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.838 9.631 10.889 8.524
0.0152 0.01508 9.32000 0.4778940380 2.2139883041    0.478 -1.539  3.5430  4.780    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.617 9.357 10.559 8.274
0.0152 0.01508 9.32000 0.5000000000 2.2374541759    0.500 -1.472  3.5493  4.758    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.5e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.451 9.152 10.313 8.087
0.0152 0.01508 9.32000 0.5500000119 2.2836582661    0.550 -1.310  3.5679  4.712    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.65e-15      0.00 7.141e-01 2.708e-01 2.702e-03 7.289e-04 6.611e-03 -1.000 1.503e-02 8.045 8.632 9.675 7.620
0.0152 0.01508 9.32000 0.6000000238 2.3211214542    0.600 -1.147  3.5908  4.678    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.29e-15      0.00 7.149e-01 2.701e-01 2.695e-03 7.272e-04 6.596e-03 -1.000 1.501e-02 7.638 8.094 9.013 7.148
0.0152 0.01508 9.32000 0.6106569767 2.3281996250    0.610 -1.111  3.5968  4.674    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.72e-15      0.00 7.150e-01 2.700e-01 2.694e-03 7.269e-04 6.593e-03 -1.000 1.500e-02 7.548 7.975 8.866 7.045
0.0152 0.01508 9.32000 0.6499999762 2.3520355225    0.650 -0.984  3.6181  4.659    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.56e-15      0.00 7.156e-01 2.694e-01 2.689e-03 7.256e-04 6.582e-03 -1.000 1.500e-02 7.230 7.553 8.351 6.680
